,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,ABW692,SVO,00:05,00:02,00:02,착륙
1,EVA150,TPE,00:05,00:05,00:07,착륙
2,AAR994,CAN,00:20,05:02,05:02,지연
3,KAL854,PEK,00:30,02:21,02:21,지연
4,CRK646,HKG,00:40,00:13,00:13,착륙
5,QTR8982,DOH,00:40,00:45,00:45,착륙
6,CQH8789,SJW,00:50,00:49,00:49,착륙
7,AJX8475,NRT,00:55,00:35,00:35,착륙
8,CKK257,PVG,02:40,02:39,02:39,착륙
9,KAL272,ATL,02:55,01:01,01:01,착륙
10,PAC226,CVG,03:00,02:44,02:44,착륙
11,KAL868,ULN,03:25,03:23,03:23,착륙
12,JNA080,DAD,03:55,03:05,03:05,착륙
13,AAR235,ORD,04:00,04:08,04:08,착륙
14,DAL27,ATL,04:00,03:37,03:37,착륙
15,JJA2306,MNL,04:05,04:20,04:20,착륙
16,KAL086,JFK,04:10,03:49,03:49,착륙
17,UPS99,SDF,04:10,03:46,03:46,착륙
18,KAL624,MNL,04:15,04:03,04:03,착륙
19,AAR203,LAX,04:20,04:25,04:25,착륙
20,APJ809,HND,04:25,04:14,04:14,착륙
21,AAR211,SFO,04:30,04:06,04:06,착륙
22,HKE602,HKG,04:30,04:00,04:00,착륙
23,HVN440,CXR,04:30,04:22,04:22,착륙
24,KAL720,HND,04:35,04:11,04:11,착륙
25,AAR704,MNL,04:40,04:17,04:17,착륙
26,CES2023,CSX,04:40,04:43,04:43,착륙
27,TWB302,GUM,04:45,04:27,04:27,착륙
28,AAR324,CTU,04:50,04:32,04:32,착륙
29,AAV604,CEB,04:50,04:29,04:29,착륙
30,KAL012,LAX,04:50,04:56,04:56,착륙
31,KAL026,SFO,04:50,04:36,04:36,착륙
32,KAL006,LAS,04:55,04:47,04:47,착륙
33,THY6486,IST,04:55,04:58,04:58,착륙
34,AAV600,CEB,05:00,04:38,04:38,착륙
35,ESR592,DAD,05:00,05:00,05:00,착륙
36,TWB132,VTE,05:00,04:49,04:49,착륙
37,VJC880,DAD,05:00,06:01,05:59,착륙
38,AAR326,KWL,05:05,04:40,04:40,착륙
39,AAR746,HKG,05:10,04:34,04:34,착륙
40,ASV502,REP,05:20,04:53,04:53,착륙
41,KAL542,OSL,05:20,04:45,04:45,착륙
42,PAL466,MNL,05:20,05:17,05:17,착륙
43,TWB308,SPN,05:20,04:51,04:51,착륙
44,KAL464,DAD,05:25,05:04,05:04,착륙
45,KAL608,HKG,05:25,05:09,05:09,착륙
46,KAL680,HAN,05:25,05:11,05:11,착륙
47,VJC864,SGN,05:25,05:31,05:31,착륙
48,ASV532,HKG,05:30,05:07,05:07,착륙
49,VJC962,HAN,05:30,06:02,06:02,착륙
50,KAL858,PEK,05:35,05:50,05:50,착륙
51,AAR734,HAN,05:40,05:47,05:47,착륙
52,AMU826,MFM,05:40,05:34,05:34,착륙
53,CPA412,HKG,05:45,05:22,05:22,착륙
54,HVN416,HAN,05:50,05:36,05:36,착륙
55,AAR756,DAD,05:55,05:14,05:14,착륙
56,CES2015,KWL,05:55,05:25,05:25,착륙
57,KAL112,GUM,05:55,05:52,05:52,착륙
58,KAL644,SIN,05:55,05:29,05:29,착륙
59,AMX090,MEX,06:00,05:40,05:40,착륙
60,ESR512,BKK,06:00,05:38,05:38,착륙
61,SBI501,OVB,06:00,06:07,06:07,착륙
62,THA688,BKK,06:00,05:42,05:42,착륙
63,VJC878,DAD,06:00,06:51,06:51,착륙
64,JJA2108,HKG,06:05,05:44,05:44,착륙
65,TWB122,SGN,06:05,05:20,05:20,착륙
66,AAR740,PNH,06:10,06:03,06:03,착륙
67,JJA2004,MFM,06:10,06:59,06:59,착륙
68,KAL652,BKK,06:10,05:54,05:54,착륙
69,VJC926,HPH,06:15,05:57,05:57,착륙
70,JNA122,MFM,06:20,06:19,06:19,착륙
71,KAL482,DEL,06:20,06:02,06:02,착륙
72,JJA2502,BKI,06:25,06:45,06:45,착륙
73,KAL632,CEB,06:25,06:11,06:11,착륙
74,PAL484,CEB,06:25,06:13,06:13,착륙
75,AAR626,SPN,06:30,06:18,06:18,착륙
76,AAR970,HKG,06:30,06:09,06:09,착륙
77,JNA024,CRK,06:30,07:26,07:26,착륙
78,KAL208,LAX,06:30,06:36,06:36,착륙
79,AAR356,CAN,06:35,06:04,06:04,착륙
80,KAL690,PNH,06:35,06:08,06:08,착륙
81,THA658,BKK,06:35,06:07,06:07,착륙
82,TWB128,DAD,06:35,07:23,07:23,착륙
83,HVN408,SGN,06:40,06:34,06:34,착륙
84,HVN430,DAD,06:40,06:25,06:25,착륙
85,JNA062,BKI,06:40,06:22,06:22,착륙
86,KAL684,SGN,06:40,06:17,06:17,착륙
87,ESR594,DAD,06:45,06:12,06:12,착륙
88,AAR283,SFO,06:50,09:55,09:55,지연
89,AAR708,CRK,06:50,06:38,06:38,착륙
90,JJA2406,CEB,06:50,07:10,07:10,착륙
91,JJA9391,GMP,06:50,06:28,06:28,착륙
92,JNA026,CEB,06:50,06:49,06:49,착륙
93,KAL658,BKK,06:50,06:21,06:21,착륙
94,ASV101,GUM,06:55,06:57,06:57,착륙
95,JJA3105,GUM,06:55,06:47,06:47,착륙
96,KAL672,KUL,06:55,06:31,06:31,착륙
97,THA656,BKK,06:55,07:12,07:12,착륙
98,AAR7325,PQC,07:00,06:14,06:14,착륙
99,AAR752,SIN,07:00,07:28,07:28,착륙
100,AAR988,PVG,07:00,07:58,07:58,착륙
101,JNA052,VTE,07:05,07:11,07:11,착륙
102,KAL668,CNX,07:05,06:16,06:16,착륙
103,AFR264,CDG,07:10,07:06,07:06,착륙
104,ESR502,BKI,07:10,06:40,06:40,착륙
105,MAS066,KUL,07:10,06:42,06:42,착륙
106,KAL628,CGK,07:15,07:17,07:17,착륙
107,ASV512,BKI,07:20,07:19,07:19,착륙
108,JNA058,HAN,07:20,07:09,07:09,착륙
109,AAR736,SGN,07:25,07:16,07:16,착륙
110,JJA2804,HAN,07:25,07:33,07:33,착륙
111,PAC968,HKG,07:25,07:18,07:18,착륙
112,BAW17,LHR,07:30,07:08,07:08,착륙
113,KAL472,RGN,07:35,07:04,07:04,착륙
114,SIA608,SIN,07:45,07:14,07:14,착륙
115,JJA2904,DAD,07:50,07:47,07:47,착륙
116,KAL214,SFO,07:50,06:55,06:55,착륙
117,KAL314,HKG,07:50,07:01,07:01,착륙
118,KAL468,CXR,07:50,07:40,07:40,착륙
119,UPS11,SDF,07:50,07:20,07:20,착륙
120,ESR542,HAN,07:55,07:42,07:42,착륙
121,JNA060,DAD,07:55,08:28,08:28,착륙
122,VJC960,HAN,07:55,07:38,07:38,착륙
123,AAR8532,PUS,08:00,07:45,07:45,착륙
124,AAR710,CEB,08:05,07:35,07:35,착륙
125,TWB622,SYX,08:05,07:31,07:31,착륙
126,KAL1402,PUS,08:10,07:56,07:56,착륙
127,KAL1412,TAE,08:15,07:54,07:54,착륙
128,FIN41,HEL,08:20,07:49,07:49,착륙
129,JNA002,BKK,08:25,09:35,09:35,지연
130,KAL320,CAN,08:25,07:51,07:51,착륙
131,KAL642,SIN,08:25,08:31,08:31,착륙
132,GIA878,CGK,08:30,08:08,08:08,착륙
133,JJA3403,SPN,08:30,08:11,08:11,착륙
134,AAR177,HND,08:35,08:18,08:18,착륙
135,JJA3107,GUM,08:35,08:06,08:06,착륙
136,KAL336,PVG,08:35,08:22,08:22,착륙
137,KZR959,ALA,08:35,08:25,08:25,착륙
138,XAX506,KUL,08:35,12:07,12:07,지연
139,JJA2204,BKK,08:40,09:08,09:08,착륙
140,TWB102,BKK,08:40,09:23,09:23,착륙
141,KAL638,HKT,08:50,08:35,08:35,착륙
142,AAR762,CGK,08:55,08:37,08:37,착륙
143,AHK128,HKG,08:55,08:33,08:33,착륙
144,JJA2206,BKK,09:10,09:53,09:53,착륙
145,KAL1406,PUS,09:10,08:56,08:56,착륙
146,LOT97,WAW,09:10,09:03,09:03,착륙
147,AAR742,BKK,09:15,09:11,09:11,착륙
148,AAR552,IST,09:20,09:27,09:27,착륙
149,KAL630,DPS,09:25,09:25,09:25,착륙
150,APJ001,KIX,09:30,09:19,09:19,착륙
151,JNA004,BKK,09:30,10:20,10:20,착륙
152,AAR748,HKT,09:35,09:48,09:48,착륙
153,AZA758,FCO,09:40,10:04,10:04,착륙
154,DLH718,MUC,09:40,09:32,09:32,착륙
155,JJA4904,CXR,09:40,09:14,09:14,착륙
156,KAL924,SVO,09:40,09:29,09:29,착륙
157,UPS196,ANC,09:40,09:17,09:17,착륙
158,VJC862,SGN,09:40,10:29,10:29,착륙
159,ESR514,BKK,09:45,10:17,10:17,착륙
160,JJA4704,SGN,09:45,08:57,08:57,착륙
161,SIA008,SIN,09:50,10:00,10:00,착륙
162,JJA2908,DAD,10:05,08:52,08:52,착륙
163,TAX700,DMK,10:05,09:50,09:50,착륙
164,CSN685,DLC,10:20,10:02,10:02,착륙
165,KAL234,SEA,10:20,12:14,12:14,지연
166,CSA190,PRG,10:25,10:34,10:34,착륙
167,CAL164,KHH,10:30,10:15,10:15,착륙
168,GCR7993,TSN,10:30,10:39,10:39,착륙
169,CDG4095,TNA,10:45,10:40,10:40,착륙
170,CES2039,TAO,10:55,10:08,10:08,착륙
171,EVA188,RMQ,10:55,10:31,10:31,착륙
172,JNA222,FUK,10:55,10:49,10:49,착륙
173,JNA262,KKJ,10:55,11:32,11:32,착륙
174,KAL530,FRA,10:55,11:15,11:15,착륙
175,SHU5450,KHV,10:55,11:04,11:04,착륙
176,AAR115,KIX,11:00,10:58,10:58,착륙
177,ABW6851,CGO,11:00,11:31,11:31,착륙
178,CES549,YNT,11:00,10:47,10:47,착륙
179,SYL505,YKS,11:00,10:26,10:26,착륙
180,UIA170,TPE,11:00,10:53,10:53,착륙
181,CAL160,TPE,11:10,10:59,11:00,착륙
182,AFL250,SVO,11:15,10:42,10:42,착륙
183,CDG4617,TAO,11:15,10:45,10:45,착륙
184,CES5085,TNA,11:15,10:36,10:36,착륙
185,CES579,NKG,11:15,10:55,10:55,착륙
186,JJA1607,NGO,11:15,10:51,10:51,착륙
187,UPS64,ANC,11:15,11:13,11:13,착륙
188,CSN313,PVG,11:20,11:16,11:16,착륙
189,DLH712,FRA,11:20,11:01,11:01,착륙
190,KAL722,KIX,11:20,11:12,11:12,착륙
191,KAL752,NGO,11:25,11:08,11:08,착륙
192,AAR107,NRT,11:30,11:17,11:17,착륙
