,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,JNA942F,CJU,00:05,00:10,00:10
1,VJC974,PQC,00:10,00:55,00:55
2,MGL307,ULN,00:25,00:15,00:15
3,KAL854,PEK,00:45,00:03,00:03
4,AJX8475,NRT,00:55,00:47,00:47
5,APJ701,CTS,01:10,00:45,00:45
6,EVA150,TPE,01:10,01:11,01:11
7,ESR872,PVG,02:30,03:08,03:08
8,CKK257,PVG,02:40,03:05,03:05
9,AAR324D,CTU,03:00,04:09,04:09
10,KAL868,ULN,03:25,03:03,03:03
11,AAR235,ORD,04:00,03:01,03:01
12,DAL27,ATL,04:00,03:23,03:23
13,JNA080,DAD,04:05,03:13,03:13
14,UPS99,SDF,04:05,03:47,03:47
15,KAL086,JFK,04:10,03:39,03:39
16,JJA2306,MNL,04:15,04:19,04:19
17,AAR203,LAX,04:20,04:14,04:14
18,APJ809,HND,04:25,04:01,04:01
19,CRK646,HKG,04:25,05:22,05:22
20,AAR211,SFO,04:30,03:28,03:58
21,AZG611,GYD,04:30,05:38,05:38
22,HVN440,CXR,04:30,05:45,05:45
23,KAL026,SFO,04:30,03:54,03:54
24,VJC836,CXR,04:30,07:31,07:31
25,ESR992,VVO,04:35,04:24,04:24
26,KAL624,MNL,04:35,04:27,04:27
27,KAL720,HND,04:35,04:16,04:16
28,TAX704,DMK,04:35,05:19,05:19
29,AAR704,MNL,04:40,04:59,04:59
30,TWB302,GUM,04:45,04:12,04:12
31,AAR324,CTU,04:50,04:42,04:42
32,KAL012,LAX,04:50,04:34,04:34
33,AAV700,KLO,04:55,06:32,06:32
34,KAL006,LAS,04:55,04:54,04:54
35,AAV600,CEB,05:00,04:39,04:39
36,ESR592,DAD,05:00,05:03,05:03
37,TWB132,VTE,05:00,04:30,04:30
38,VJC880,DAD,05:00,05:52,05:52
39,AAR326,KWL,05:05,04:50,04:50
40,AAR746,HKG,05:10,05:48,05:48
41,JNA064,BKI,05:10,05:14,05:14
42,CES2023,CSX,05:20,04:57,04:57
43,PAL466,MNL,05:20,05:34,05:34
44,TWB308,SPN,05:20,05:31,05:31
45,APG036,KLO,05:25,06:15,06:15
46,KAL464,DAD,05:25,06:07,06:07
47,KAL608,HKG,05:25,05:17,05:17
48,KAL680,HAN,05:25,05:06,05:06
49,VJC864,SGN,05:25,07:02,07:02
50,ASV502,HKG,05:30,05:50,05:50
51,KAL542,OSL,05:30,06:31,06:31
