,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD,Departure_STT
0,AAR941,JFK,00:05,23:45,00:05,이륙
1,CRK623,HKG,00:05,23:40,00:00,이륙
2,GTI654,ORD,00:05,00:00,00:02,이륙
3,SIA603,SIN,00:05,00:00,00:28,이륙
4,UAE323,DXB,00:05,23:50,00:06,이륙
5,ETD873,AUH,00:15,00:15,00:14,이륙
6,TAX703,DMK,00:20,00:20,00:25,이륙
7,SIA007,SIN,00:25,00:25,00:34,이륙
8,THY91,IST,00:40,00:40,00:36,이륙
9,QTR859,DOH,00:50,00:50,00:51,이륙
10,KLM856,AMS,00:55,00:55,00:57,이륙
11,AAR987,PVG,01:05,01:05,01:12,이륙
12,AAR248,ATL,01:10,01:10,01:20,이륙
13,AAR282,LAX,01:10,01:10,01:14,이륙
14,PAC217,PVG,01:15,01:15,01:16,이륙
15,VJC839,CXR,01:50,01:50,02:03,이륙
16,KAL249,JFK,02:10,02:10,02:19,이륙
17,CEB187,MNL,02:30,02:30,02:50,이륙
18,GAP2483,TAG,02:30,02:30,02:41,이륙
19,PAC237,HKG,02:55,02:55,03:10,이륙
20,PAC582,TPE,03:00,11:45,12:28,지연
21,HKE615,HKG,04:55,04:55,05:17,이륙
22,PIC195,DAD,06:10,06:10,06:35,이륙
23,VJC881,DAD,06:15,06:15,07:00,이륙
24,AAV601,CEB,06:20,06:20,06:52,이륙
25,AAV705,KLO,06:20,06:20,07:27,지연
26,JCC802,REP,06:20,06:20,06:32,이륙
27,VJC963,HAN,06:25,06:25,07:05,이륙
28,CRK627,HKG,06:30,06:30,07:08,이륙
29,ESR633,OKA,06:30,06:30,06:56,이륙
30,JJA1408,FUK,06:30,06:30,07:15,이륙
31,AAV701,KLO,06:45,06:45,07:25,이륙
32,VJC865,SGN,06:45,06:45,07:10,이륙
33,VJC879,DAD,06:45,06:45,07:13,이륙
34,APG037,KLO,06:55,06:55,07:17,이륙
35,EVA149,TPE,07:00,07:00,07:40,이륙
36,JJA1304,KIX,07:00,07:00,07:42,이륙
