,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR951,HAN,00:05,23:55,00:08
1,AIH511,HAN,00:05,23:55,00:12
2,CDG4722,TAO,00:05,23:50,00:06
3,CDG8440,TAO,00:05,23:55,00:28
4,KAL315,PVG,00:05,23:55,00:18
5,PAC214,CVG,00:05,00:05,00:36
6,UAE323,DXB,00:05,23:50,00:00
7,WGN2986,ANC,00:05,23:00,00:14
8,AJX8480,OKA,00:10,00:10,00:26
9,ASV531,HKG,00:10,23:40,00:10
10,CSZ9038,SZX,00:10,23:50,00:03
11,MAS039,KUL,00:10,00:10,00:16
12,QTR8981,DOH,00:10,00:10,00:51
13,ETD873,AUH,00:15,00:15,00:20
14,TAX703,DMK,00:20,00:20,00:34
15,THY91,IST,00:30,00:30,00:25
16,VJC875,DAD,00:30,00:10,00:59
17,QTR859,DOH,00:35,00:35,00:38
18,ETH673,ADD,00:45,00:20,00:56
19,KLM856,AMS,00:55,00:55,01:09
20,AAR987,PVG,01:05,01:05,01:20
21,GTI531,PVG,01:10,01:10,01:15
22,VJC975,PQC,01:45,01:45,01:58
23,VJC839,CXR,01:50,01:50,01:52
24,KAL249,JFK,01:55,01:55,02:10
25,GEC8387,FRA,02:15,02:15,02:28
26,GAP2483,TAG,02:30,02:30,02:38
27,KAL541,OSL,02:40,02:40,03:30
28,CEB187,MNL,02:55,02:55,03:35
29,CLX7345,LUX,03:10,06:35,06:49
30,CKK258,PVG,03:30,03:30,04:08
31,GTI2628,MIA,04:25,22:30,23:01
32,HKE615,HKG,05:10,05:10,05:22
33,PAC735,HKG,05:15,05:15,05:29
34,JJA1600,NGO,05:55,05:55,06:18
35,PIC1195,DAD,05:55,05:55,06:12
36,HVN441,CXR,06:15,06:15,06:24
37,JJA2201,BKK,06:15,06:15,06:41
38,VJC881,DAD,06:15,06:15,06:35
39,VJC837,CXR,06:20,07:15,07:56
40,AAV601,CEB,06:25,06:25,06:38
41,VJC963,HAN,06:25,06:25,07:25
42,AAR8533,PUS,06:30,,06:43
43,TWB671,KHH,06:30,06:30,07:00
44,PAC769,HKG,06:45,06:45,07:03
45,VJC865,SGN,06:45,06:45,07:28
46,AAV701,KLO,06:50,06:50,07:09
47,CRK647,HKG,06:50,06:50,07:05
48,ESR633,OKA,06:50,06:50,07:12
49,JJA1582,KOJ,06:50,06:50,07:14
50,JNA221,FUK,06:50,06:50,07:17
51,APG037,KLO,06:55,06:55,07:07
52,EVA149,TPE,07:00,07:00,07:15
53,JJA1304,KIX,07:00,07:00,07:23
54,SWM212,REP,07:00,07:00,07:21
55,TWB205,NRT,07:00,07:00,07:19
56,VJC879,DAD,07:00,07:00,07:34
57,AIH231,YNT,07:05,07:05,07:27
58,JJA1100,NRT,07:10,07:10,07:30
59,ASV762,KIX,07:15,07:35,08:05
60,ESR605,NRT,07:15,07:15,07:38
61,JJA1904,CTS,07:15,07:15,07:49
62,VJC925,HPH,07:15,07:15,07:32
63,JNA261,KKJ,07:20,07:20,07:43
64,TWB297,OIT,07:20,07:20,07:36
65,CES5050,YNT,07:25,07:25,07:54
66,ESR621,CTS,07:25,07:25,07:52
67,TWB337,GUM,07:25,08:50,08:50
68,APJ012,KIX,07:30,07:30,07:45
69,JJA1408,FUK,07:30,07:30,07:58
70,JNA201,NRT,07:30,07:30,08:09
71,PAL485,CEB,07:30,07:30,07:40
72,AAR701,MNL,07:35,07:35,08:01
73,KAL1411,TAE,07:35,,07:50
74,AMU825,MFM,07:40,07:40,08:03
75,GTI8462,UTP,07:40,08:35,09:03
76,JNA077,DAD,07:40,07:40,08:12
77,AAR731,SGN,07:45,07:45,08:20
78,TWB125,DAD,07:45,07:45,08:06
79,TWB201,NRT,07:45,07:45,08:10
80,JNA063,BKI,07:50,07:50,08:09
81,CEB181,KLO,07:55,07:55,08:13
82,KAL621,MNL,07:55,07:55,08:26
83,PAC225,CVG,07:55,07:55,07:46
84,TWB281,KIX,07:55,07:55,08:15
85,JNA211,KIX,08:00,08:00,08:21
86,KAL529,FRA,08:00,09:30,10:09
87,KAL787,FUK,08:00,08:00,08:23
88,PAL489,KLO,08:00,08:00,08:22
89,AAR112,KIX,08:05,08:05,08:25
90,KAL479,HAN,08:05,08:05,08:25
91,KAL747,OKJ,08:05,08:05,08:18
92,AAR122,NGO,08:10,08:10,08:28
93,JJA1102,NRT,08:10,08:10,08:31
94,PAL467,MNL,08:10,08:10,08:17
95,KAL827,SZX,08:15,08:15,08:36
96,AAR727,HAN,08:20,08:20,08:41
97,JJA8401,TAO,08:20,08:20,08:32
98,KAL603,HKG,08:20,08:20,08:49
99,KAL1401,PUS,08:25,,08:42
100,AAR353,CKG,08:30,08:30,08:57
101,AAR369,CAN,08:30,08:30,08:53
102,AAR791,FRA,08:30,08:50,09:21
103,ASV704,TAK,08:30,08:30,08:47
104,CES2044,TAO,08:30,08:30,08:29
105,JNA021,CEB,08:30,08:30,08:45
106,JNA231,CTS,08:35,08:35,08:53
107,KAL893,PVG,08:35,08:35,08:47
108,ESR601,NRT,08:40,08:40,08:57
109,CDG4620,TAO,08:45,08:45,08:51
110,CPA415,HKG,08:45,08:55,09:14
111,KAL785,KOJ,08:45,08:45,09:06
112,AAR576,UUS,08:50,08:50,09:04
113,KAL831,SHE,08:50,08:50,09:18
114,UPS186,ANC,08:50,08:50,09:10
115,AAR132,FUK,08:55,08:55,09:14
116,AAR327,TSN,08:55,08:55,09:24
117,AAR789,MXP,08:55,09:55,10:17
118,CES5052,PVG,08:55,08:55,09:11
119,KAL865,CAN,08:55,08:55,09:06
120,AAR102,NRT,09:00,09:00,09:22
121,AAR174,CTS,09:00,09:00,09:12
122,AAR309,WEH,09:00,09:00,09:28
123,AAR317,TAO,09:00,09:00,09:16
124,AAR721,HKG,09:00,09:05,09:42
125,KAL691,TPE,09:00,09:00,09:37
126,KAL723,KIX,09:00,09:00,09:15
127,SIA607,SIN,09:00,09:00,09:08
128,AAR303,CGQ,09:05,09:05,09:36
129,AAR361,PVG,09:05,09:05,09:26
130,ESR611,KIX,09:05,09:05,09:18
131,KAL845,TAO,09:05,09:05,09:32
132,KAL891,YNJ,09:05,09:05,09:47
133,ASV744,YGJ,09:10,09:10,09:28
134,ESR931,HKG,09:10,09:10,09:34
135,JJA1302,KIX,09:10,09:10,09:25
136,KAL681,SGN,09:10,09:10,09:45
137,KAL809,CGO,09:10,09:10,09:40
138,CPA421,HKG,09:15,09:15,09:30
139,JNA113,HKG,09:15,09:15,09:49
140,JNA285,KIX,09:15,09:15,09:31
141,KAL113,GUM,09:15,09:15,09:38
142,KAL657,BKK,09:15,09:15,09:53
143,AAR351,YNJ,09:20,09:20,09:55
144,KAL807,XIY,09:20,09:20,09:51
145,JJA8501,WEH,09:30,09:30,10:06
146,AAR337,YNZ,09:35,09:35,09:58
147,ASV712,FSZ,09:35,10:25,11:00
148,ESR641,FUK,09:35,10:05,10:17
149,JNA641,GUM,09:35,09:35,09:56
150,KAL035,ATL,09:35,09:35,10:02
151,THA659,BKK,09:35,09:35,10:00
152,XAX507,KUL,09:35,09:35,10:10
153,AAR172,OKA,09:40,09:40,09:57
154,AAR301,DLC,09:40,09:40,10:02
155,ESR661,KMI,09:40,09:40,09:52
156,JNA081,TPE,09:40,09:40,10:03
157,AAR711,TPE,09:45,09:45,10:07
158,AFR267,CDG,09:55,09:55,10:13
159,JJA2101,HKG,09:55,09:55,10:15
160,KAL703,NRT,09:55,09:55,10:19
161,ASV752,NRT,10:00,10:00,10:24
162,KAL081,JFK,10:00,11:03,11:03
163,KAL483,HAN,10:00,10:00,10:20
164,JJA3102,GUM,10:05,10:05,10:15
165,KAL763,KIJ,10:05,11:05,11:39
166,KAL765,CTS,10:05,10:05,10:28
167,KAL823,MDG,10:05,10:05,10:30
168,KAL887,XMN,10:05,10:05,10:26
169,KAL981,VVO,10:05,10:05,10:24
170,AAR371,SZX,10:10,10:10,10:37
171,CPA417,HKG,10:10,10:10,10:22
172,JJA3402,SPN,10:10,10:10,10:22
173,JNA245,OKA,10:10,10:10,10:29
