,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR387,HAN,00:05,00:30,00:06
1,AAR951,HAN,00:05,00:05,00:02
2,AJX8480,OKA,00:05,00:05,00:18
3,HVN407,SGN,00:05,00:20,00:16
4,KAL213,SFO,00:05,23:20,00:04
5,PAC214,CVG,00:10,00:10,00:08
6,UAE323,DXB,00:10,00:15,00:13
7,QTR8981,DOH,00:30,00:30,00:47
8,SIA007,SIN,00:35,00:35,00:45
9,QTR859,DOH,00:45,00:45,00:59
10,KLM856,AMS,00:55,00:55,01:09
11,ETD873,AUH,01:00,01:00,01:20
12,AAR987,PVG,01:05,01:05,01:24
13,TAX703,DMK,01:05,01:05,01:18
14,UAE329,DXB,01:15,01:15,01:28
15,GTI515,PVG,01:25,01:25,01:42
16,KAL389,SGN,01:35,01:35,01:30
17,VJC839,CXR,01:50,01:50,01:56
18,GEC8387,FRA,02:05,02:05,02:00
19,KAL249,JFK,02:05,02:05,02:16
20,SHU5435,VVO,02:15,02:15,02:20
21,KAL541,OSL,02:30,02:30,02:42
22,CEB187,MNL,02:35,03:05,03:19
23,GAP2483,TAG,02:45,02:45,02:54
24,CLX734,LUX,03:55,07:30,07:56
25,CKK258,PVG,04:55,04:55,05:05
26,PAC969,HKG,05:15,05:15,05:31
27,HKE603,HKG,05:25,05:25,05:34
28,PAC735,HKG,05:35,05:35,05:47
29,AAV601,CEB,06:15,06:15,06:22
30,VJC881,DAD,06:15,06:15,06:24
31,AAV605,CEB,06:20,06:15,06:58
32,VJC963,HAN,06:25,06:25,06:46
33,AAR8533,PUS,06:30,,06:41
34,AAV701,KLO,06:30,06:45,07:06
35,JJA1408,FUK,06:30,06:30,06:39
36,CRK647,HKG,06:45,06:45,06:51
37,VJC865,SGN,06:45,06:45,07:08
38,APG037,KLO,06:55,06:55,07:03
39,TWB671,KHH,07:00,07:00,07:11
40,VJC879,DAD,07:00,07:00,07:15
41,ASV762,KIX,07:05,07:05,07:18
42,EVA149,TPE,07:10,07:10,07:22
43,JJA1304,KIX,07:10,07:10,07:25
44,JNA261,KKJ,07:10,07:10,07:28
45,JNA221,FUK,07:15,07:15,07:35
46,VJC925,HPH,07:15,07:15,07:41
47,AAR731,SGN,07:20,07:20,07:47
48,JJA1300,KIX,07:20,07:20,07:30
49,JNA077,DAD,07:20,07:20,07:40
50,JNA201,NRT,07:25,07:25,07:52
51,TWB125,DAD,07:25,07:25,07:50
52,TWB297,OIT,07:25,07:25,07:37
53,AAR993,CAN,07:30,09:25,09:55
54,APJ012,KIX,07:30,07:30,07:44
55,JNA039,KLO,07:30,07:30,08:00
56,KAL1411,TAE,07:30,,07:54
57,KAL529,FRA,07:30,08:50,09:22
58,ESR621,CTS,07:40,07:40,07:58
59,AAR701,MNL,07:45,09:00,09:40
60,CES5050,YNT,07:45,07:45,08:02
61,PAC225,CVG,07:45,07:15,07:33
62,TWB201,NRT,07:45,07:45,08:05
63,JNA081,TPE,07:50,07:50,08:17
64,JNA211,KIX,07:50,07:50,08:09
65,AAR112,KIX,07:55,07:55,08:19
66,AMU825,MFM,07:55,07:55,08:07
67,CEB181,KLO,07:55,07:55,08:11
68,ESR601,NRT,08:00,08:00,08:16
69,KAL621,MNL,08:00,08:00,08:21
70,KAL747,OKJ,08:00,08:00,08:23
71,KAL787,FUK,08:00,08:00,08:24
72,KAL809,CGO,08:00,08:00,08:15
73,TWB281,KIX,08:00,08:00,08:13
74,ESR641,FUK,08:05,08:05,08:21
75,KAL831,SHE,08:05,08:05,08:46
76,KAL845,TAO,08:05,08:05,08:25
77,KAL479,HAN,08:10,08:10,08:30
78,KAL603,HKG,08:10,08:10,08:28
79,PAL467,MNL,08:10,08:10,08:23
80,AAR122,NGO,08:15,08:15,08:27
81,AAR327,TSN,08:15,08:15,08:49
82,AAR331,PEK,08:20,08:20,08:37
83,AAR727,HAN,08:20,08:20,08:38
84,JJA8401,TAO,08:20,08:20,08:43
85,JNA231,CTS,08:20,08:20,08:38
86,KAL1401,PUS,08:25,,08:43
87,CES2044,TAO,08:30,08:30,08:40
88,JJA1102,NRT,08:30,08:30,08:40
89,KAL893,PVG,08:30,08:30,08:51
90,PAL485,CEB,08:30,08:30,08:45
91,AAR353,CKG,08:35,08:35,08:53
92,AAR369,CAN,08:40,08:40,09:12
93,CPA415,HKG,08:40,08:40,08:55
94,KAL827,SZX,08:40,08:40,08:58
95,AAR132,FUK,08:45,08:45,08:58
96,CDG4620,TAO,08:45,08:45,08:56
97,ESR611,KIX,08:45,08:45,08:56
98,KAL823,MDG,08:45,08:45,09:07
99,KAL865,CAN,08:50,08:50,09:16
100,AAR351,YNJ,08:55,08:55,09:34
101,CES5052,PVG,08:55,08:55,09:05
102,UPS186,ANC,08:55,08:55,09:00
103,AAR102,NRT,09:00,09:00,09:28
104,AAR303,CGQ,09:00,09:00,09:14
105,AAR309,WEH,09:00,09:00,09:10
106,AAR361,PVG,09:00,09:00,09:32
107,AAR721,HKG,09:00,09:00,09:27
108,SIA607,SIN,09:00,09:00,09:18
109,AAR248,ATL,09:05,09:05,09:34
110,AAR301,DLC,09:05,09:05,09:25
111,AAR317,TAO,09:05,09:05,09:43
112,AAR576,UUS,09:05,09:05,09:21
113,AFR267,CDG,09:05,09:05,09:28
114,JJA2601,TPE,09:05,09:05,09:20
115,KAL657,BKK,09:05,09:05,09:30
116,ASV732,HIJ,09:10,09:10,09:25
117,CPA421,HKG,09:10,09:10,09:38
118,ESR931,HKG,09:10,09:10,09:36
119,JJA1302,KIX,09:10,09:10,09:30
120,KAL681,SGN,09:10,09:10,09:46
121,AAR172,OKA,09:15,09:15,09:45
122,KAL805,TSN,09:15,09:15,09:49
123,KAL807,XIY,09:15,09:15,09:53
124,KAL031,DFW,09:20,09:20,09:45
125,KAL035,ATL,09:20,09:20,09:40
126,AAR284,SFO,09:25,09:25,09:51
127,AAR791,FRA,09:30,09:30,10:06
128,AIH231,YNT,09:30,09:30,10:02
129,JJA3402,SPN,09:30,09:30,09:43
130,JNA113,HKG,09:30,09:30,10:00
131,AAR337,YNZ,09:35,09:35,09:58
132,JJA1402,FUK,09:35,09:35,09:48
133,KAL073,YYZ,09:35,09:35,10:05
134,KAL723,KIX,09:35,09:35,10:00
135,KAL825,YNJ,09:35,09:35,10:08
136,THA659,BKK,09:35,09:35,09:51
137,ASV712,FSZ,09:40,09:40,09:57
138,JNA641,GUM,09:40,09:40,09:53
139,AJX8476,NRT,09:45,09:45,10:03
140,KAL113,GUM,09:45,09:45,10:10
141,XAX507,KUL,09:45,09:45,10:03
142,KAL613,HKG,09:50,09:50,10:12
143,JJA2101,HKG,09:55,09:55,10:15
144,AAR371,SZX,10:00,10:00,10:19
145,AAR711,TPE,10:00,10:00,10:17
146,ASV752,NRT,10:00,10:00,10:40
147,KAL081,JFK,10:00,10:00,10:23
148,ESR661,KMI,10:05,10:05,10:19
149,HVN417,HAN,10:05,10:05,10:20
150,KAL763,KIJ,10:05,10:05,10:32
151,TWB291,FUK,10:05,10:05,10:18
152,APJ002,KIX,10:10,10:10,10:29
153,JJA8501,WEH,10:10,10:10,10:26
154,KAL703,NRT,10:10,10:10,10:35
155,KAL765,CTS,10:10,10:10,10:26
156,KAL981,VVO,10:10,10:10,10:23
