지점,일시(UTC),기압(hPa),고도(gpm),기온(°C),이슬점온도(°C),풍향(deg),풍속(knot)
47102,2019-01-01 00:00,100,,,,,
47102,2019-01-01 00:00,700,3003,-19.1,-20.8,275,24
47102,2019-01-01 00:00,850,1569,,,,
47102,2019-01-01 00:00,925,889,-10.7,-11.3,320,21
47102,2019-01-01 00:00,1000,283,-4.9,-10.9,305,19
47102,2019-01-01 12:00,10,30560,-51.1,-83.1,40,15
47102,2019-01-01 12:00,20,26100,-55.5,-86.5,275,27
47102,2019-01-01 12:00,30,23550,-57.5,-87.5,275,21
47102,2019-01-01 12:00,50,20340,-60.7,-89.7,260,55
47102,2019-01-01 12:00,70,18250,-61.1,-90.1,265,75
47102,2019-01-01 12:00,100,16030,-60.5,-89.5,265,85
47102,2019-01-01 12:00,150,13490,-55.5,-86.5,270,115
47102,2019-01-01 12:00,200,11640,-50.7,-82.7,265,122
47102,2019-01-01 12:00,250,10180,-49.3,-82.3,275,120
47102,2019-01-01 12:00,300,8990,-49.7,-82.7,275,122
47102,2019-01-01 12:00,400,7070,-38.7,-47.7,280,100
47102,2019-01-01 12:00,500,5490,-25.7,-45.7,290,90
47102,2019-01-01 12:00,700,3008,-18.5,-27.5,310,26
47102,2019-01-01 12:00,850,1542,-12.1,-25.1,320,23
47102,2019-01-01 12:00,925,893,-8.9,-12.4,315,26
47102,2019-01-01 12:00,1000,282,-2.9,-11.9,320,20
47102,2019-01-02 00:00,10,30480,-51.7,-83.7,265,7
47102,2019-01-02 00:00,20,26050,-59.7,-89.7,155,11
47102,2019-01-02 00:00,30,23520,-59.5,-89.5,250,21
47102,2019-01-02 00:00,50,20320,-60.1,-89.1,275,47
47102,2019-01-02 00:00,70,18240,-64.3,-92.3,280,81
47102,2019-01-02 00:00,100,16050,-62.9,-91.9,270,83
47102,2019-01-02 00:00,150,13500,-54.7,-85.7,270,93
47102,2019-01-02 00:00,200,11640,-49.5,-82.5,275,108
47102,2019-01-02 00:00,250,10180,-50.1,-83.1,270,108
47102,2019-01-02 00:00,300,9000,-50.9,-69.9,275,98
47102,2019-01-02 00:00,400,7080,-39.7,-53.7,285,72
47102,2019-01-02 00:00,500,5520,-28.9,-39.9,285,61
47102,2019-01-02 00:00,700,3031,-15.3,-40.3,300,31
47102,2019-01-02 00:00,850,1549,-9.3,-29.3,315,23
47102,2019-01-02 00:00,925,899,-10.5,-13.6,330,18
47102,2019-01-02 00:00,1000,292,-4.3,-12.3,340,18
47102,2019-01-02 12:00,10,30570,-50.5,-82.5,325,10
47102,2019-01-02 12:00,20,26120,-57.1,-87.1,280,23
47102,2019-01-02 12:00,30,23560,-59.7,-89.7,265,36
47102,2019-01-02 12:00,50,20380,-61.9,-90.9,285,52
47102,2019-01-02 12:00,70,18310,-63.7,-91.7,280,60
47102,2019-01-02 12:00,100,16110,-62.7,-91.7,285,79
47102,2019-01-02 12:00,150,13570,-55.1,-86.1,270,103
47102,2019-01-02 12:00,200,11710,-48.1,-81.1,275,115
47102,2019-01-02 12:00,250,10240,-48.7,-81.7,280,101
47102,2019-01-02 12:00,300,9040,-50.3,-68.3,280,93
47102,2019-01-02 12:00,400,7110,-38.9,-45.9,285,81
47102,2019-01-02 12:00,500,5550,-27.1,-38.1,290,70
47102,2019-01-02 12:00,700,3049,-11.5,-22.5,310,35
47102,2019-01-02 12:00,850,1554,-7.7,-26.7,315,22
47102,2019-01-02 12:00,925,899,-8.3,-11.2,320,18
47102,2019-01-02 12:00,1000,287,-2.5,-10.5,330,13
47102,2019-01-03 00:00,10,30520,-51.3,-83.3,300,12
47102,2019-01-03 00:00,20,26080,-56.9,-86.9,305,25
47102,2019-01-03 00:00,30,23540,-58.7,-88.7,275,39
47102,2019-01-03 00:00,50,20380,-65.5,-93.5,275,49
47102,2019-01-03 00:00,70,18330,-64.7,-92.7,285,56
47102,2019-01-03 00:00,100,16140,-62.5,-91.5,280,73
47102,2019-01-03 00:00,150,13610,-53.1,-85.1,280,101
47102,2019-01-03 00:00,200,11730,-49.3,-82.3,285,128
47102,2019-01-03 00:00,250,10250,-43.5,-78.5,280,113
47102,2019-01-03 00:00,300,9040,-48.1,-81.1,285,84
47102,2019-01-03 00:00,400,7130,-39.3,-50.3,285,74
47102,2019-01-03 00:00,500,5570,-29.3,-34.2,290,52
47102,2019-01-03 00:00,700,3074,-10.5,-25.5,285,25
47102,2019-01-03 00:00,850,1567,-6.9,-25.9,325,21
47102,2019-01-03 00:00,925,908,-7.3,-12.3,300,17
47102,2019-01-03 00:00,1000,295,-2.5,-8.5,10,5
47102,2019-01-03 12:00,10,30490,-51.7,-83.7,250,16
47102,2019-01-03 12:00,20,26050,-58.5,-88.5,265,25
47102,2019-01-03 12:00,30,23490,-61.7,-90.7,295,40
47102,2019-01-03 12:00,50,20380,-67.5,-94.5,280,38
47102,2019-01-03 12:00,70,18340,-66.3,-94.3,285,75
47102,2019-01-03 12:00,100,16180,-65.3,-93.3,275,91
47102,2019-01-03 12:00,150,13680,-58.1,-88.1,285,123
47102,2019-01-03 12:00,200,11830,-50.1,-83.1,285,154
47102,2019-01-03 12:00,250,10370,-47.7,-80.7,280,142
47102,2019-01-03 12:00,300,9160,-46.9,-54.9,280,122
47102,2019-01-03 12:00,400,7200,-33.9,-41.9,290,91
47102,2019-01-03 12:00,500,5610,-23.1,-39.1,295,65
47102,2019-01-03 12:00,700,3069,-7.7,-20.7,280,34
47102,2019-01-03 12:00,850,1557,-6.5,-21.5,265,13
