Station,Time,Pressure,Altitude,Temperature,Dewpoint,WD,WS
47122,1/1/2018 0:00,30,23580,,,245,27
47122,1/1/2018 0:00,50,20290,-59.1,-89.1,245,39
47122,1/1/2018 0:00,70,18160,-56.9,-87.9,285,73
47122,1/1/2018 0:00,100,15930,-58.3,-89.3,275,83
47122,1/1/2018 0:00,150,13360,-55.9,-86.9,280,114
47122,1/1/2018 0:00,200,11510,-52.9,-84.9,280,125
47122,1/1/2018 0:00,250,10070,-52.9,-78.9,280,112
47122,1/1/2018 0:00,300,8890,-50.3,-72.3,285,104
47122,1/1/2018 0:00,400,6960,-38.3,-71.3,285,72
47122,1/1/2018 0:00,500,5400,-29.5,-42.5,295,47
47122,1/1/2018 0:00,700,2911,-14.1,-30.1,300,43
47122,1/1/2018 0:00,850,1433,-11.1,-25.1,320,28
47122,1/1/2018 0:00,925,778,-6.5,-14.5,325,19
47122,1/1/2018 0:00,1000,164,-3.1,-9.1,245,3
47122,1/1/2018 6:00,30,23590,-51.7,-84.7,255,33
47122,1/1/2018 6:00,50,20290,-56.7,-87.7,250,51
47122,1/1/2018 6:00,70,18160,-60.9,-90.9,285,80
47122,1/1/2018 6:00,100,15950,-58.9,-88.9,270,93
47122,1/1/2018 6:00,150,13380,-57.9,-88.9,280,124
47122,1/1/2018 6:00,200,11550,-53.5,-85.5,280,122
47122,1/1/2018 6:00,250,10110,-51.9,-73.9,285,119
47122,1/1/2018 6:00,300,8920,-48.9,-68.9,290,118
47122,1/1/2018 6:00,400,6990,-37.7,-65.7,295,79
47122,1/1/2018 6:00,500,5420,-27.5,-46.5,290,63
47122,1/1/2018 6:00,700,2925,-12.3,-26.3,300,42
47122,1/1/2018 6:00,850,1442,-9.9,-11.9,300,30
47122,1/1/2018 6:00,925,784,-5.3,-13.3,280,9
47122,1/1/2018 6:00,1000,165,0.6,-11.4,235,4
47122,1/1/2018 12:00,20,26290,-43.9,-78.9,230,31
47122,1/1/2018 12:00,30,23630,-46.5,-80.5,245,28
47122,1/1/2018 12:00,50,20330,-55.9,-86.9,280,45
47122,1/1/2018 12:00,70,18200,-58.3,-89.3,290,69
47122,1/1/2018 12:00,100,15970,-58.9,-88.9,280,106
47122,1/1/2018 12:00,150,13430,-58.9,-88.9,280,139
47122,1/1/2018 12:00,200,11600,-53.3,-81.3,285,128
47122,1/1/2018 12:00,250,10170,-54.1,-73.1,285,113
47122,1/1/2018 12:00,300,8990,-48.1,-66.1,290,101
47122,1/1/2018 12:00,400,7030,-34.5,-53.5,290,87
47122,1/1/2018 12:00,500,5450,-25.7,-39.7,295,80
