TM,WD,WSPD,WS_GST,VIS,RVR1,RVR2,RVR3,RVR4,WC,TMP,TD,PS,PA,RN,HM,CA_TOT,CLA_1LYR,BASE_1LYR,CLF_1LYR,CLA_2LYR,BASE_2LYR,CLF_2LYR,CLA_3LYR,BASE_3LYR,CLF_3LYR,CLA_4LYR,BASE_4LYR,CLF_4LYR
2019010100,1,6,,1000,,,,,,-53,-102,10359,10350,,68,0,,,,,,,,,,,,
2019010101,31,5,,1000,,,,,,-57,-105,10358,10349,,69,0,,,,,,,,,,,,
2019010102,33,4,,1000,,,,,,-60,-105,10359,10350,,70,0,,,,,,,,,,,,
2019010103,32,4,,1000,,,,,,-63,-112,10363,10354,,68,0,,,,,,,,,,,,
2019010104,7,1,,1000,,,,,,-66,-118,10357,10348,,66,2,2,30,6,,,,,,,,,
2019010105,4,1,,1000,,,,,,-71,-115,10353,10344,,70,2,2,30,6,,,,,,,,,
2019010106,2,3,,1000,,,,,,-77,-120,10349,10340,,71,2,2,30,6,,,,,,,,,
2019010107,7,3,,1000,,,,,,-76,-118,10346,10337,,71,2,2,30,6,,,,,,,,,
2019010108,6,3,,1000,,,,,,-73,-114,10348,10339,,72,4,2,30,6,4,120,3,,,,,,
2019010109,7,1,,1000,,,,,,-63,-113,10349,10340,,67,5,5,110,3,,,,,,,,,
2019010110,10,1,,1000,,,,,,-43,-113,10349,10340,,58,3,1,90,3,3,200,0,,,,,,
2019010111,32,4,,1000,,,,,,-26,-101,10347,10338,,56,3,2,30,6,3,80,3,,,,,,
2019010112,31,10,,1000,,,,,,-14,-95,10338,10329,,54,5,4,30,6,5,200,0,,,,,,
2019010113,31,12,,1000,,,,,,-20,-96,10329,10320,,56,5,4,25,6,5,110,3,,,,,,
2019010114,34,8,,1000,,,,,,-16,-81,10322,10313,,61,3,3,25,6,,,,,,,,,
2019010115,31,10,,1000,,,,,,-10,-91,10322,10313,,54,3,2,25,6,3,200,0,,,,,,
2019010116,31,10,,1000,,,,,,-16,-96,10323,10314,,54,2,2,25,6,,,,,,,,,
2019010117,31,12,,1000,,,,,,-20,-104,10328,10319,,52,1,1,30,6,,,,,,,,,
2019010118,32,13,,1000,,,,,,-28,-123,10331,10322,,48,1,1,30,6,,,,,,,,,
2019010119,32,15,,1000,,,,,,-35,-134,10339,10330,,46,0,,,,,,,,,,,,
2019010120,32,13,,1000,,,,,,-36,-124,10342,10333,,50,0,,,,,,,,,,,,
2019010121,33,12,,1000,,,,,,-45,-119,10347,10338,,56,0,,,,,,,,,,,,
2019010122,35,10,,1000,,,,,,-47,-131,10346,10337,,52,0,,,,,,,,,,,,
2019010123,35,5,,1000,,,,,,-66,-143,10346,10337,,54,0,,,,,,,,,,,,
2019010200,36,4,,1000,,,,,,-69,-141,10348,10339,,56,0,,,,,,,,,,,,
2019010201,1,5,,1000,,,,,,-62,-134,10346,10337,,56,0,,,,,,,,,,,,
2019010202,2,5,,1000,,,,,,-64,-138,10350,10341,,56,0,,,,,,,,,,,,
2019010203,2,3,,1000,,,,,,-73,-136,10351,10342,,60,0,,,,,,,,,,,,
2019010204,6,3,,1000,,,,,,-83,-140,10347,10338,,63,0,,,,,,,,,,,,
2019010205,14,1,,1000,,,,,,-84,-142,10346,10337,,62,0,,,,,,,,,,,,
2019010206,16,1,,1000,,,,,,-72,-129,10349,10340,,64,0,,,,,,,,,,,,
2019010207,31,7,,1000,,,,,,-70,-126,10354,10345,,64,0,,,,,,,,,,,,
2019010208,32,6,,1000,,,,,,-54,-117,10359,10350,,61,0,,,,,,,,,,,,
2019010209,5,3,,1000,,,,,,-53,-112,10367,10358,,63,0,,,,,,,,,,,,
2019010210,2,3,,1000,,,,,,-42,-116,10370,10361,,56,0,,,,,,,,,,,,
2019010211,34,4,,1000,,,,,,-29,-149,10365,10356,,39,0,,,,,,,,,,,,
2019010212,33,5,,1000,,,,,,-27,-161,10358,10349,,35,0,,,,,,,,,,,,
2019010213,31,6,,1000,,,,,,-22,-163,10349,10340,,33,0,,,,,,,,,,,,
2019010214,29,9,,1000,,,,,,-17,-152,10343,10334,,35,0,,,,,,,,,,,,
2019010215,31,9,,1000,,,,,,-18,-112,10342,10333,,48,0,,,,,,,,,,,,
2019010216,32,8,,1000,,,,,,-16,-120,10343,10334,,45,0,,,,,,,,,,,,
2019010217,32,7,,1000,,,,,,-26,-130,10341,10332,,44,0,,,,,,,,,,,,
2019010218,26,4,,1000,,,,,,-27,-124,10345,10336,,47,0,,,,,,,,,,,,
2019010219,28,2,,1000,,,,,,-30,-119,10346,10337,,50,0,,,,,,,,,,,,
2019010220,30,7,,1000,,,,,,-27,-130,10346,10337,,45,0,,,,,,,,,,,,
2019010221,35,8,,1000,,,,,,-52,-137,10348,10339,,51,0,,,,,,,,,,,,
2019010222,33,7,,1000,,,,,,-52,-125,10349,10340,,56,0,,,,,,,,,,,,
2019010223,1,5,,1000,,,,,,-67,-142,10352,10343,,55,0,,,,,,,,,,,,
2019010300,36,3,,1000,,,,,,-65,-139,10355,10346,,55,0,,,,,,,,,,,,
2019010301,6,1,,1000,,,,,,-74,-148,10356,10347,,55,0,,,,,,,,,,,,
2019010302,0,0,,1000,,,,,,-70,-141,10358,10349,,57,0,,,,,,,,,,,,
2019010303,15,1,,1000,,,,,,-74,-146,10360,10351,,56,0,,,,,,,,,,,,
2019010304,33,5,,1000,,,,,,-67,-142,10357,10348,,55,0,,,,,,,,,,,,
2019010305,1,5,,1000,,,,,,-67,-134,10358,10349,,58,0,,,,,,,,,,,,
2019010306,1,2,,1000,,,,,,-68,-134,10359,10350,,59,0,,,,,,,,,,,,
2019010307,2,3,,1000,,,,,,-88,-142,10359,10350,,65,0,,,,,,,,,,,,
2019010308,10,2,,1000,,,,,,-81,-144,10364,10355,,60,0,,,,,,,,,,,,
2019010309,14,1,,1000,,,,,,-50,-128,10371,10362,,54,0,,,,,,,,,,,,
2019010310,2,1,,1000,,,,,,-29,-140,10375,10366,,42,0,,,,,,,,,,,,
2019010311,3,3,,1000,,,,,,-18,-178,10377,10368,,28,0,,,,,,,,,,,,
2019010312,35,4,,1000,,,,,,0,-184,10366,10357,,23,0,,,,,,,,,,,,
2019010313,34,3,,1000,,,,,,2,-183,10355,10346,,23,0,,,,,,,,,,,,
2019010314,30,6,,1000,,,,,,5,-173,10353,10344,,25,0,,,,,,,,,,,,
2019010315,2,2,,1000,,,,,,6,-164,10346,10337,,27,0,,,,,,,,,,,,
2019010316,29,5,,1000,,,,,,11,-157,10348,10339,,27,0,,,,,,,,,,,,
2019010317,30,4,,1000,,,,,,-4,-173,10347,10338,,27,0,,,,,,,,,,,,
2019010318,25,4,,1000,,,,,,-8,-139,10351,10342,,36,0,,,,,,,,,,,,
2019010319,28,5,,1000,,,,,,-13,-109,10360,10351,,48,0,,,,,,,,,,,,
2019010320,5,3,,1000,,,,,,-26,-104,10358,10349,,55,0,,,,,,,,,,,,
