"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2020113024","34","9","","1000","","","","","","-16","-63","10376","10367","","70","0","","","","","","","","","","","",""
"2020120101","35","9","","1000","","","","","","-11","-74","10379","10370","","62","0","","","","","","","","","","","",""
"2020120102","36","7","","1000","","","","","","-12","-75","10378","10369","","62","1","1","200","0","","","","","","","","",""
"2020120103","34","10","","1000","","","","","","-12","-82","10380","10371","","59","1","1","200","0","","","","","","","","",""
"2020120104","36","7","","1000","","","","","","-7","-83","10382","10373","","56","1","1","200","0","","","","","","","","",""
"2020120105","36","6","","1000","","","","","","-28","-86","10375","10366","","64","0","","","","","","","","","","","",""
"2020120106","1","4","","1000","","","","","","-15","-85","10371","10362","","59","0","","","","","","","","","","","",""
"2020120107","3","5","","1000","","","","","","-11","-95","10376","10367","","52","0","","","","","","","","","","","",""
"2020120108","10","3","","1000","","","","","","-20","-66","10380","10371","","70","0","","","","","","","","","","","",""
"2020120109","7","5","","1000","","","","","","-7","-69","10383","10374","","63","0","","","","","","","","","","","",""
"2020120110","5","8","","1000","","","","","","8","-80","10383","10374","","51","0","","","","","","","","","","","",""
"2020120111","4","6","","1000","","","","","","18","-97","10384","10375","","42","0","","","","","","","","","","","",""
"2020120112","1","3","","1000","","","","","","29","-80","10374","10365","","44","1","1","200","0","","","","","","","","",""
"2020120113","34","3","","1000","","","","","","41","-89","10364","10355","","38","1","1","200","0","","","","","","","","",""
"2020120114","33","6","","1000","","","","","","44","-93","10358","10349","","36","1","1","200","0","","","","","","","","",""
"2020120115","31","5","","1000","","","","","","44","-85","10353","10344","","38","5","5","200","0","","","","","","","","",""
"2020120116","34","8","","1000","","","","","","47","-121","10347","10338","","28","6","6","190","0","","","","","","","","",""
"2020120117","35","5","","1000","","","","","","31","-101","10347","10338","","37","7","7","170","2","","","","","","","","",""
"2020120118","1","4","","1000","","","","","","33","-100","10342","10333","","37","7","7","160","2","","","","","","","","",""
"2020120119","36","5","","1000","","","","","","29","-92","10346","10337","","40","7","7","160","2","","","","","","","","",""
"2020120120","36","6","","1000","","","","","","31","-111","10346","10337","","34","6","6","160","2","","","","","","","","",""
"2020120121","36","6","","1000","","","","","","28","-91","10343","10334","","41","7","1","150","3","7","170","2","","","","","",""
"2020120122","36","6","","1000","","","","","","24","-85","10343","10334","","44","6","2","130","3","6","170","0","","","","","",""
"2020120123","35","7","","1000","","","","","","19","-82","10341","10332","","47","5","3","130","3","5","170","0","","","","","",""
"2020120124","36","6","","1000","","","","","","23","-87","10341","10332","","44","7","4","130","3","7","170","0","","","","","",""
"2020120201","34","5","","1000","","","","","","18","-77","10341","10332","","49","7","5","120","3","7","170","0","","","","","",""
"2020120202","1","3","","1000","","","","","","22","-98","10340","10331","","40","7","5","100","3","7","170","0","","","","","",""
"2020120203","2","2","","1000","","","","","","20","-103","10338","10329","","39","7","6","90","3","7","170","0","","","","","",""
"2020120204","3","5","","1000","","","","","","17","-99","10332","10323","","42","7","5","80","3","7","170","0","","","","","",""
"2020120205","2","5","","1000","","","","","","13","-99","10328","10319","","43","7","6","80","3","7","170","0","","","","","",""
"2020120206","4","6","","1000","","","","","","16","-98","10326","10317","","42","8","1","50","6","8","90","4","","","","","",""
"2020120207","5","5","","1000","","","","","","14","-86","10324","10315","","47","8","2","45","6","8","80","4","","","","","",""
"2020120208","4","8","","1000","","","","","","18","-86","10325","10316","","46","8","3","40","6","8","80","4","","","","","",""
"2020120209","2","8","","1000","","","","","","23","-89","10327","10318","","43","8","2","40","6","8","90","4","","","","","",""
"2020120210","4","5","","1000","","","","","","29","-89","10328","10319","","41","8","8","70","4","","","","","","","","",""
