,AAR,EAD,ADR,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WD,WSPD,WS_GST,VIS,WC,RN,CA_TOT,CLA_1LYR,BASE_1LYR,CLA_2LYR,BASE_2LYR,CLA_3LYR,BASE_3LYR,CLA_4LYR,BASE_4LYR,RVR,WDIR_t12,WSPD_t12,WG_t12,VIS_t12,WC_t12,CLA_1LYR_t12,BASE_1LYR_t12,CLA_2LYR_t12,BASE_2LYR_t12,CLA_3LYR_t12,BASE_3LYR_t12
0,3.0,2.0,11.0,11.0,2018,1,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,34,5,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,0.0,1.0,4.0,5.0,2018,1,1,1,1,1.0,1.0,3.0,11.0,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,3,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,0.0,1.0,4.0,4.0,2018,1,1,2,1,1.0,1.0,0.0,4.0,1.0,1.0,320.0,325.0,245.0,28.0,19.0,3.0,35,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,2.0,0.0,1.0,1.0,2018,1,1,3,1,1.0,1.0,0.0,4.0,1.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0,0,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,18.0,16.0,0.0,1.0,2018,1,1,4,1,1.0,1.0,2.0,1.0,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,19,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,37.0,33.0,1.0,0.0,2018,1,1,5,1,1.0,1.0,18.0,0.0,0.0,1.0,320.0,325.0,245.0,28.0,19.0,3.0,19,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,28.0,35.0,4.0,13.0,2018,1,1,6,1,1.0,1.0,37.0,1.0,0.0,0.0,300.0,280.0,235.0,30.0,9.0,4.0,7,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,27.0,28.0,26.0,33.0,2018,1,1,7,1,1.0,1.0,28.0,4.0,7.0,9.0,300.0,280.0,235.0,30.0,9.0,4.0,6,2,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,25.0,28.0,32.0,29.0,2018,1,1,8,1,1.0,1.0,27.0,26.0,1.0,7.0,300.0,280.0,235.0,30.0,9.0,4.0,9,1,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,19.0,14.0,38.0,42.0,2018,1,1,9,1,1.0,1.0,25.0,32.0,3.0,0.0,300.0,280.0,235.0,30.0,9.0,4.0,15,1,0.0,1000,1,0.0,2,2.0,200.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
