,label,EAD,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,0.0,1.0,5.0,2018,1,1,0,1,1.0,1.0,2.972345186546433,8.694661644928392,0.0,2.3053383550716084,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,0.0,1.0,4.0,2018,1,1,1,1,1.0,1.0,1.282606902273211,4.620822560085833,0.0,0.37917743991416675,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,2.0,0.0,1.0,2018,1,1,2,1,1.0,1.0,1.4059838939470068,4.377291019849244,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,18.0,16.0,1.0,2018,1,1,3,1,1.0,1.0,2.7708542375017444,1.191325088354083,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,37.0,33.0,0.0,2018,1,1,4,1,1.0,1.0,20.32057141440062,0.9194313083563891,0.0,0.08056869164361091,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,28.0,35.0,13.0,2018,1,1,5,1,1.0,1.0,34.00596285581924,1.1517252798997937,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,27.0,28.0,33.0,2018,1,1,6,1,1.0,1.0,30.37285224169852,7.890743883137586,4.627147758301479,5.109256116862414,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,25.0,28.0,29.0,2018,1,1,7,1,1.0,1.0,28.68164483214651,24.327542020567943,0.0,8.672457979432057,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,19.0,14.0,42.0,2018,1,1,8,1,1.0,1.0,26.63219171437509,32.34622236148641,1.3678082856249105,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,14.0,13.0,37.0,2018,1,1,9,1,1.0,1.0,18.020701373667663,38.039368974717696,0.0,3.9606310252823036,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
