,label,EAD,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,0.0,1.0,5.0,2018,1,1,0,1,1.0,1.0,3.169,10.267,0.0,0.7330000000000005,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,0.0,1.0,4.0,2018,1,1,1,1,1.0,1.0,0.339,4.348,0.661,0.6520000000000001,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,2.0,0.0,1.0,2018,1,1,2,1,1.0,1.0,0.371,4.08,0.629,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,18.0,16.0,1.0,2018,1,1,3,1,1.0,1.0,2.467,1.181,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,37.0,33.0,0.0,2018,1,1,4,1,1.0,1.0,19.138,0.308,0.0,0.692,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,28.0,35.0,13.0,2018,1,1,5,1,1.0,1.0,35.294,1.002,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,27.0,28.0,33.0,2018,1,1,6,1,1.0,1.0,28.96,5.733,6.039999999999999,7.267,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,25.0,28.0,29.0,2018,1,1,7,1,1.0,1.0,28.038,25.331,0.0,7.6690000000000005,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,19.0,14.0,42.0,2018,1,1,8,1,1.0,1.0,25.523,32.351,2.4770000000000003,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,14.0,13.0,37.0,2018,1,1,9,1,1.0,1.0,18.812,38.292,0.0,3.7079999999999984,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,30.0,28.0,25.0,2018,1,1,10,1,1.0,1.0,14.676,36.386,0.0,0.6139999999999972,300.0,280.0,235.0,30.0,9.0,4.0,40.0,7.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,22.0,27.0,30.0,2018,1,1,11,1,1.0,1.0,29.879,29.655,0.0,0.0,300.0,280.0,235.0,30.0,9.0,4.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,26.0,25.0,26.0,2018,1,1,12,1,1.0,1.0,22.826,28.268,4.1739999999999995,1.7319999999999993,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,29.0,26.0,29.0,2018,1,1,13,1,1.0,1.0,25.729,30.169,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,32.0,33.0,24.0,2018,1,1,14,1,1.0,1.0,26.547,29.168,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,35.0,37.0,19.0,2018,1,1,15,1,1.0,1.0,32.246,27.111,0.7539999999999978,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
