,label,EAD,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,0.0,1.0,4.0,2018,1,1,0,1,1.0,1.0,1.2780553148302463,5.105827228631534,0.7219446851697537,5.894172771368466,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,2.0,0.0,1.0,2018,1,1,1,1,1.0,1.0,1.3211117255799703,3.99159830299686,0.0,1.0084016970031402,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,18.0,16.0,1.0,2018,1,1,2,1,1.0,1.0,2.4939539907249326,1.3657329426825346,0.0,2.6342670573174654,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,37.0,33.0,0.0,2018,1,1,3,1,1.0,1.0,20.310997873128464,0.9969844419689478,0.0,0.0030155580310522456,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,28.0,35.0,13.0,2018,1,1,4,1,1.0,1.0,33.694723519939124,0.6977064992183457,0.0,0.3022935007816543,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,27.0,28.0,33.0,2018,1,1,5,1,1.0,1.0,30.823514666826824,7.358452604447614,2.1764853331731757,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,25.0,28.0,29.0,2018,1,1,6,1,1.0,1.0,27.855501263671474,23.974019998766135,7.144498736328526,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,19.0,14.0,42.0,2018,1,1,7,1,1.0,1.0,26.009764612316022,33.28065040373885,1.9902353876839776,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,14.0,13.0,37.0,2018,1,1,8,1,1.0,1.0,18.647919810171693,38.553671257785766,9.352080189828307,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,30.0,28.0,25.0,2018,1,1,9,1,1.0,1.0,16.650565357892667,37.49791443540835,0.0,4.502085564591653,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,22.0,27.0,30.0,2018,1,1,10,1,1.0,1.0,30.084954404589034,29.208633966305467,0.0,7.791366033694533,300.0,280.0,235.0,30.0,9.0,4.0,40.0,7.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,26.0,25.0,26.0,2018,1,1,11,1,1.0,1.0,24.862521591043013,27.688575507860904,3.137478408956987,0.0,300.0,280.0,235.0,30.0,9.0,4.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,29.0,26.0,29.0,2018,1,1,12,1,1.0,1.0,24.06210050004567,30.73285906142263,2.93789949995433,0.0,315.0,300.0,260.0,25.0,16.0,2.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,32.0,33.0,24.0,2018,1,1,13,1,1.0,1.0,26.574377059122934,29.594377155137746,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,35.0,37.0,19.0,2018,1,1,14,1,1.0,1.0,32.5904043572808,25.702520373378835,0.0,3.297479626621165,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,41.0,41.0,19.0,2018,1,1,15,1,1.0,1.0,36.66726524752851,20.62076342377994,0.0,3.379236576220059,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
16,33.0,26.0,37.0,2018,1,1,16,1,1.0,1.0,38.46664259798108,20.19689082590787,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
17,23.0,27.0,32.0,2018,1,1,17,1,1.0,1.0,30.92845842576551,21.95999303695199,10.071541574234491,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
18,27.0,25.0,35.0,2018,1,1,18,1,1.0,1.0,25.909390557754158,37.22545220558421,0.09060944224584233,0.0,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
19,22.0,23.0,26.0,2018,1,1,19,1,1.0,1.0,26.272528187832144,33.832120871369774,0.7274718121678561,0.0,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
20,18.0,24.0,19.0,2018,1,1,20,1,1.0,1.0,21.78967151022096,27.92619245204237,3.210328489779041,7.073807547957632,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
21,4.0,3.0,9.0,2018,1,1,21,1,1.0,1.0,19.092685978427504,27.00849892921433,3.907314021572496,0.0,305.0,290.0,230.0,26.0,17.0,4.0,330.0,10.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
