,EAD,label,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,1.0,4.0,4.0,2018,1,1,0,1,1.0,1.0,0.23,4.302,1.77,6.698,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,0.0,1.0,1.0,2018,1,1,1,1,1.0,1.0,0.301,4.059,0.6990000000000001,0.9409999999999998,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,16.0,0.0,1.0,2018,1,1,2,1,1.0,1.0,2.471,1.248,0.0,2.752,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,33.0,1.0,0.0,2018,1,1,3,1,1.0,1.0,19.137,0.302,0.0,0.698,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,35.0,4.0,13.0,2018,1,1,4,1,1.0,1.0,34.801,0.95,0.0,0.050000000000000044,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,28.0,26.0,33.0,2018,1,1,5,1,1.0,1.0,29.042,5.419,3.9579999999999984,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,28.0,32.0,29.0,2018,1,1,6,1,1.0,1.0,28.132,24.934,6.8679999999999986,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,14.0,38.0,42.0,2018,1,1,7,1,1.0,1.0,25.33,32.792,2.6700000000000017,0.2079999999999984,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,13.0,36.0,37.0,2018,1,1,8,1,1.0,1.0,19.175,38.004,8.825,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,28.0,30.0,25.0,2018,1,1,9,1,1.0,1.0,14.344,36.507,0.0,5.493000000000002,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,27.0,29.0,30.0,2018,1,1,10,1,1.0,1.0,30.25,29.747,0.0,7.253,300.0,280.0,235.0,30.0,9.0,4.0,40.0,7.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,25.0,30.0,26.0,2018,1,1,11,1,1.0,1.0,22.807,28.329,5.193000000000001,0.0,300.0,280.0,235.0,30.0,9.0,4.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,26.0,30.0,29.0,2018,1,1,12,1,1.0,1.0,25.836,30.175,1.1640000000000015,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,33.0,28.0,24.0,2018,1,1,13,1,1.0,1.0,27.766,29.514,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,37.0,17.0,19.0,2018,1,1,14,1,1.0,1.0,32.476,25.072,0.0,3.928000000000001,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,41.0,22.0,19.0,2018,1,1,15,1,1.0,1.0,36.068,19.381,0.0,4.619,315.0,300.0,260.0,25.0,16.0,2.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
16,26.0,22.0,37.0,2018,1,1,16,1,1.0,1.0,39.969,20.955,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
17,27.0,39.0,32.0,2018,1,1,17,1,1.0,1.0,31.003,21.883,9.997,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
18,25.0,33.0,35.0,2018,1,1,18,1,1.0,1.0,24.301,37.817,1.6990000000000016,0.0,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
19,23.0,29.0,26.0,2018,1,1,19,1,1.0,1.0,25.829,34.762,1.1709999999999994,0.0,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
20,24.0,27.0,19.0,2018,1,1,20,1,1.0,1.0,22.003,27.555,2.997,7.445,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
21,3.0,12.0,9.0,2018,1,1,21,1,1.0,1.0,18.465,26.994,4.535,0.0,305.0,290.0,230.0,26.0,17.0,4.0,330.0,10.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
22,2.0,7.0,8.0,2018,1,1,22,1,1.0,1.0,4.429,15.409,19.570999999999998,3.5909999999999993,305.0,290.0,230.0,26.0,17.0,4.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
23,3.0,2.0,1.0,2018,1,1,23,1,1.0,1.0,3.321,7.003,0.0,1.9969999999999999,305.0,290.0,230.0,26.0,17.0,4.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
24,0.0,4.0,4.0,2018,1,2,0,2,1.0,1.0,0.669,2.074,1.331,5.926,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
