,EAD,label,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,35.0,4.0,13.0,2018,1,1,0,1,1.0,1.0,34.00490161240739,0.6010839634702239,0.0,10.398916036529776,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,28.0,26.0,33.0,2018,1,1,1,1,1.0,1.0,30.96709818467844,7.561233576623318,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,28.0,32.0,29.0,2018,1,1,2,1,1.0,1.0,28.059480982079243,23.6448157797541,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,14.0,38.0,42.0,2018,1,1,3,1,1.0,1.0,26.770849862275213,35.059762487433844,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,13.0,36.0,37.0,2018,1,1,4,1,1.0,1.0,18.576210040292022,38.33030406693097,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,28.0,30.0,25.0,2018,1,1,5,1,1.0,1.0,16.42334425782939,36.33960503739678,16.57665574217061,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,27.0,29.0,30.0,2018,1,1,6,1,1.0,1.0,29.20399347898642,29.607749819086944,5.796006521013581,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,25.0,30.0,26.0,2018,1,1,7,1,1.0,1.0,24.76681575409535,28.7825658436478,3.233184245904649,4.217434156352201,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,26.0,30.0,29.0,2018,1,1,8,1,1.0,1.0,24.355287848940474,30.620734243906195,3.644712151059526,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,33.0,28.0,24.0,2018,1,1,9,1,1.0,1.0,26.436559173233316,28.930277921006308,0.0,13.069722078993692,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,37.0,17.0,19.0,2018,1,1,10,1,1.0,1.0,33.25305254370601,25.909735220452376,0.0,11.090264779547624,300.0,280.0,235.0,30.0,9.0,4.0,40.0,7.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,41.0,22.0,19.0,2018,1,1,11,1,1.0,1.0,36.2842081669565,22.4130228751598,0.0,2.5869771248401996,300.0,280.0,235.0,30.0,9.0,4.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,26.0,22.0,37.0,2018,1,1,12,1,1.0,1.0,39.786976039262186,20.7763622698666,0.0,9.223637730133401,315.0,300.0,260.0,25.0,16.0,2.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,27.0,39.0,32.0,2018,1,1,13,1,1.0,1.0,30.3606942072531,21.810091312599486,0.0,4.189908687400514,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,25.0,33.0,35.0,2018,1,1,14,1,1.0,1.0,26.07306147172255,36.4345264338604,0.0,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,23.0,29.0,26.0,2018,1,1,15,1,1.0,1.0,26.150265167512995,34.283565046018296,6.849734832487005,0.0,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
16,24.0,27.0,19.0,2018,1,1,16,1,1.0,1.0,21.464292301033538,28.226469339374397,15.535707698966462,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
17,3.0,12.0,9.0,2018,1,1,17,1,1.0,1.0,19.184089805947004,27.674724002502213,21.815910194052996,0.0,315.0,300.0,260.0,25.0,16.0,2.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
18,2.0,7.0,8.0,2018,1,1,18,1,1.0,1.0,4.868304440615858,15.85445286892879,21.13169555938414,21.14554713107121,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
19,3.0,2.0,1.0,2018,1,1,19,1,1.0,1.0,2.793789998109013,6.743392494181252,24.206210001890987,25.25660750581875,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
20,0.0,4.0,4.0,2018,1,1,20,1,1.0,1.0,2.3574913914014894,2.7386381938031823,22.64250860859851,32.26136180619682,305.0,290.0,230.0,26.0,17.0,4.0,270.0,7.0,0.0,9999.0,0,4,30.0,7,180.0,0,400.0
21,2.0,0.0,0.0,2018,1,1,21,1,1.0,1.0,1.1967797218703782,3.801979377748096,21.803220278129622,22.198020622251903,305.0,290.0,230.0,26.0,17.0,4.0,330.0,10.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
22,21.0,0.0,1.0,2018,1,1,22,1,1.0,1.0,3.3264956695687196,1.1356736109515517,20.67350433043128,17.864326389048447,305.0,290.0,230.0,26.0,17.0,4.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
23,30.0,3.0,3.0,2018,1,1,23,1,1.0,1.0,21.123396198858444,1.1454943068445844,0.0,7.854505693155415,305.0,290.0,230.0,26.0,17.0,4.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
24,36.0,7.0,18.0,2018,1,2,0,2,1.0,1.0,31.60314377233149,2.363552312313892,0.0,5.636447687686108,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
25,25.0,27.0,33.0,2018,1,2,1,2,1.0,1.0,31.694032142126986,9.395174069069666,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
26,26.0,39.0,30.0,2018,1,2,2,2,1.0,1.0,25.901233148061518,23.827950878261316,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
27,15.0,28.0,43.0,2018,1,2,3,2,1.0,1.0,24.895567401857093,34.5295152783864,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
28,15.0,36.0,40.0,2018,1,2,4,2,1.0,1.0,18.91038104083065,33.47182294332838,2.08961895916935,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
29,32.0,30.0,26.0,2018,1,2,5,2,1.0,1.0,17.107657847618718,35.83166970421022,12.892342152381282,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
30,22.0,43.0,37.0,2018,1,2,6,2,1.0,1.0,32.05442970417648,29.34894155771836,3.945570295823522,0.0,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
31,22.0,30.0,22.0,2018,1,2,7,2,1.0,1.0,21.617290366619127,29.637212479923598,3.3827096333808733,3.3627875200764024,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
32,26.0,28.0,32.0,2018,1,2,8,2,1.0,1.0,21.19833219135455,31.370398477811616,4.801667808645451,0.0,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
33,26.0,27.0,25.0,2018,1,2,9,2,1.0,1.0,27.015269115846273,28.973248242350508,0.0,14.026751757649492,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
34,37.0,23.0,17.0,2018,1,2,10,2,1.0,1.0,26.84983733828718,27.856899590263822,0.0,12.143100409736178,290.0,315.0,325.0,31.0,18.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
35,40.0,17.0,20.0,2018,1,2,11,2,1.0,1.0,35.695470355820376,22.90657044878462,0.0,3.0934295512153795,290.0,315.0,325.0,31.0,18.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
36,27.0,23.0,35.0,2018,1,2,12,2,1.0,1.0,40.80507484591625,19.7011491460494,0.0,17.2988508539506,315.0,315.0,300.0,39.0,18.0,6.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
37,30.0,35.0,32.0,2018,1,2,13,2,1.0,1.0,31.237044823020547,21.632198086147064,0.0,0.3678019138529365,315.0,315.0,300.0,39.0,18.0,6.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
38,22.0,37.0,36.0,2018,1,2,14,2,1.0,1.0,26.827918238255066,35.57693933867206,0.0,0.0,315.0,315.0,300.0,39.0,18.0,6.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
39,22.0,30.0,22.0,2018,1,2,15,2,1.0,1.0,23.45524421909223,35.586035738151004,2.5447557809077708,0.0,315.0,315.0,300.0,39.0,18.0,6.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
