,EAD,label,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,2.0,3.0,3.0,2019,1,1,0,2,1.0,1.0,2.1140026079935437,6.141145305094545,0.8859973920064563,2.858854694905455,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,1.0,5.0,2.0,2019,1,1,1,2,1.0,1.0,1.7634485070203063,4.125046056665356,1.2365514929796937,2.874953943334644,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,15.0,1.0,2.0,2019,1,1,2,2,1.0,1.0,5.996090906298543,2.097541494682477,0.0,0.9024585053175231,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,36.0,1.0,1.0,2019,1,1,3,2,1.0,1.0,20.577794711407975,2.112498852972134,0.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,36.0,6.0,16.0,2019,1,1,4,2,1.0,1.0,32.24139004045318,1.9786787159709693,0.0,0.021321284029030663,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,27.0,27.0,30.0,2019,1,1,5,2,1.0,1.0,33.580978030795386,9.337431304289133,2.419021969204614,0.0,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,23.0,33.0,32.0,2019,1,1,6,2,1.0,1.0,27.257109511083037,24.873848460240904,8.742890488916963,0.0,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,19.0,42.0,41.0,2019,1,1,7,2,1.0,1.0,23.079024391811434,33.03720006835202,3.9209756081885665,0.0,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,15.0,41.0,42.0,2019,1,1,8,2,1.0,1.0,19.17978135760947,40.72947723810807,3.820218642390529,0.0,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,34.0,29.0,25.0,2019,1,1,9,2,1.0,1.0,17.659629576460613,41.414315661884466,1.3403704235393867,0.0,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
