,EAD,label,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,3.0,6.0,7.0,2019,1,1,0,2,1.0,1.0,4.49973297389372,7.949832382398683,0.0,1.0501676176013168,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,2.0,3.0,3.0,2019,1,1,1,2,1.0,1.0,2.228744416423025,6.474561097263209,0.7712555835769752,0.5254389027367914,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,1.0,5.0,2.0,2019,1,1,2,2,1.0,1.0,1.9300452401768182,3.821039589839961,0.06995475982318178,0.0,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,15.0,1.0,2.0,2019,1,1,3,2,1.0,1.0,5.89882749847866,1.7655114538338021,0.0,0.23448854616619785,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,36.0,1.0,1.0,2019,1,1,4,2,1.0,1.0,21.101837528528133,1.6385907576381236,0.0,0.36140924236187644,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,36.0,6.0,16.0,2019,1,1,5,2,1.0,1.0,31.982780735222338,1.793699269944756,4.017219264777662,0.0,280.0,280.0,305.0,12.0,23.0,8.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,27.0,27.0,30.0,2019,1,1,6,2,1.0,1.0,34.27849684113592,9.126350820304536,1.7215031588640812,6.873649179695464,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,23.0,33.0,32.0,2019,1,1,7,2,1.0,1.0,26.92250547436266,25.312813702184012,0.07749452563734138,4.6871862978159875,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,19.0,42.0,41.0,2019,1,1,8,2,1.0,1.0,22.893703740500005,33.24937336215733,0.10629625949999522,0.0,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,15.0,41.0,42.0,2019,1,1,9,2,1.0,1.0,19.487045425380177,40.360300586701115,0.0,0.6396994132988851,290.0,295.0,290.0,26.0,18.0,9.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,34.0,29.0,25.0,2019,1,1,10,2,1.0,1.0,17.35292391463455,41.073055280879004,0.0,0.9269447191209963,290.0,295.0,290.0,26.0,18.0,9.0,190.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,23.0,27.0,38.0,2019,1,1,11,2,1.0,1.0,33.11503269978193,29.589342169864604,0.8849673002180722,0.0,290.0,295.0,290.0,26.0,18.0,9.0,190.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,26.0,29.0,25.0,2019,1,1,12,2,1.0,1.0,21.375337955988453,29.882771628061597,1.6246620440115471,8.117228371938403,310.0,295.0,315.0,24.0,18.0,11.0,250.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,26.0,41.0,35.0,2019,1,1,13,2,1.0,1.0,27.661581530260985,30.353292201764457,0.0,0.0,310.0,295.0,315.0,24.0,18.0,11.0,250.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,28.0,30.0,27.0,2019,1,1,14,2,1.0,1.0,24.963230586157604,38.165288236319306,1.0367694138423964,0.0,310.0,295.0,315.0,24.0,18.0,11.0,250.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,38.0,18.0,20.0,2019,1,1,15,2,1.0,1.0,29.503170469590266,28.496725732823087,0.0,0.0,310.0,295.0,315.0,24.0,18.0,11.0,250.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
16,43.0,21.0,18.0,2019,1,1,16,2,1.0,1.0,38.71287893048672,21.36885071100015,0.0,0.0,310.0,295.0,315.0,24.0,18.0,11.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
17,24.0,25.0,38.0,2019,1,1,17,2,1.0,1.0,40.94574077636187,20.25931897616588,2.0542592236381267,0.0,310.0,295.0,315.0,24.0,18.0,11.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
18,29.0,33.0,29.0,2019,1,1,18,2,1.0,1.0,22.209358278363954,24.245057293390268,1.790641721636046,13.754942706609732,315.0,300.0,335.0,27.0,28.0,10.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
19,25.0,31.0,38.0,2019,1,1,19,2,1.0,1.0,30.27209275295612,33.026319760794735,0.0,0.0,315.0,300.0,335.0,27.0,28.0,10.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
20,28.0,26.0,19.0,2019,1,1,20,2,1.0,1.0,25.93437740343102,32.577910199488585,0.0,5.422089800511415,315.0,300.0,335.0,27.0,28.0,10.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
21,19.0,27.0,21.0,2019,1,1,21,2,1.0,1.0,23.42778576330676,27.339585963387496,4.572214236693242,0.0,315.0,300.0,335.0,27.0,28.0,10.0,320.0,12.0,0.0,9999.0,0,4,30.0,0,400.0,0,400.0
22,5.0,19.0,10.0,2019,1,1,22,2,1.0,1.0,18.12321363123835,26.565810214437533,0.8767863687616497,0.0,315.0,300.0,335.0,27.0,28.0,10.0,330.0,16.0,26.0,9999.0,0,2,30.0,0,400.0,0,400.0
23,1.0,6.0,7.0,2019,1,1,23,2,1.0,1.0,6.717003453274434,21.798652686657302,0.0,0.0,315.0,300.0,335.0,27.0,28.0,10.0,330.0,16.0,26.0,9999.0,0,2,30.0,0,400.0,0,400.0
24,2.0,2.0,4.0,2019,1,2,0,3,1.0,1.0,2.632707429045436,6.612375514070903,0.0,0.3876244859290967,310.0,295.0,340.0,23.0,22.0,5.0,330.0,16.0,26.0,9999.0,0,2,30.0,0,400.0,0,400.0
25,1.0,4.0,2.0,2019,1,2,1,3,1.0,1.0,1.7517840802750344,4.416391304757874,0.2482159197249656,0.0,310.0,295.0,340.0,23.0,22.0,5.0,330.0,16.0,26.0,9999.0,0,2,30.0,0,400.0,0,400.0
26,1.0,1.0,0.0,2019,1,2,2,3,1.0,1.0,2.063559461190809,3.990043442492929,0.0,0.0,310.0,295.0,340.0,23.0,22.0,5.0,330.0,13.0,0.0,9999.0,0,2,30.0,0,400.0,0,400.0
27,15.0,0.0,0.0,2019,1,2,3,3,1.0,1.0,5.633469415162629,1.0889550460783224,0.0,0.0,310.0,295.0,340.0,23.0,22.0,5.0,330.0,13.0,0.0,9999.0,0,2,30.0,0,400.0,0,400.0
