,label,1hour_prediction,label,2hour_prediction
0,3.0,3.169,0.0,0.23
1,0.0,0.339,0.0,0.301
2,0.0,0.371,2.0,2.471
3,2.0,2.467,18.0,19.137
4,18.0,19.138,37.0,34.801
5,37.0,35.294,28.0,29.042
6,28.0,28.96,27.0,28.132
7,27.0,28.038,25.0,25.33
8,25.0,25.523,19.0,19.175
9,19.0,18.812,14.0,14.344
10,14.0,14.676,30.0,30.25
11,30.0,29.879,22.0,22.807
12,22.0,22.826,26.0,25.836
13,26.0,25.729,29.0,27.766
14,29.0,26.547,32.0,32.476
15,32.0,32.246,35.0,36.068
16,35.0,36.03,41.0,39.969
17,41.0,40.29,33.0,31.003
18,33.0,30.992,23.0,24.301
19,23.0,26.914,27.0,25.829
20,27.0,27.391,22.0,22.003
21,22.0,22.254,18.0,18.465
22,18.0,18.069,4.0,4.429
23,4.0,4.343,3.0,3.321
24,3.0,2.921,0.0,0.669
25,0.0,0.512,2.0,1.621
26,2.0,1.658,1.0,1.708
27,1.0,3.113,21.0,22.37
28,21.0,21.251,36.0,33.688
29,36.0,33.125,32.0,31.32
30,32.0,31.411,24.0,24.496
31,24.0,24.408,25.0,24.864
32,25.0,24.939,18.0,18.198
33,18.0,17.925,15.0,15.492
34,15.0,16.504,30.0,33.059
35,30.0,30.937,21.0,21.639
36,21.0,21.647,20.0,20.628
37,20.0,22.456,28.0,25.442
38,28.0,27.246,23.0,24.358
39,23.0,24.384,37.0,37.346
40,37.0,37.968,44.0,41.828
41,44.0,41.824,34.0,32.43
42,34.0,32.306,24.0,25.373
43,24.0,25.138,23.0,23.649
44,23.0,23.178,17.0,18.119
45,17.0,18.359,17.0,17.426
46,17.0,17.99,5.0,5.213
47,5.0,4.602,4.0,3.869
48,4.0,3.952,0.0,0.4
49,0.0,0.436,2.0,1.993
50,2.0,2.049,1.0,1.656
51,1.0,1.567,20.0,19.891
52,20.0,19.918,33.0,32.334
53,33.0,32.575,34.0,32.903
54,34.0,33.042,27.0,27.425
55,27.0,27.477,27.0,26.003
56,27.0,25.842,16.0,16.425
57,16.0,16.13,11.0,13.164
58,11.0,13.382,36.0,34.16
59,36.0,28.45,21.0,29.076
60,21.0,26.711,15.0,21.966
61,15.0,15.565,28.0,28.358
62,28.0,27.965,39.0,37.514
63,39.0,37.895,35.0,35.935
64,35.0,35.808,44.0,42.761
65,44.0,42.835,32.0,30.476
66,32.0,30.051,25.0,25.286
67,25.0,25.386,26.0,27.629
68,26.0,27.581,20.0,21.603
69,20.0,21.974,25.0,23.267
70,25.0,23.334,6.0,5.303
71,6.0,5.319,1.0,1.425
72,1.0,1.388,2.0,1.68
73,2.0,1.732,0.0,0.196
74,0.0,0.275,2.0,2.321
75,2.0,2.315,18.0,18.749
76,18.0,18.831,32.0,32.111
77,32.0,32.206,34.0,32.755
78,34.0,33.057,29.0,29.364
79,29.0,28.987,25.0,24.542
80,25.0,24.743,23.0,21.306
81,23.0,21.484,16.0,17.09
82,16.0,17.513,36.0,34.598
83,36.0,32.375,19.0,23.96
84,19.0,20.816,25.0,24.769
85,25.0,25.244,28.0,28.103
86,28.0,28.013,34.0,32.766
87,34.0,32.594,32.0,34.07
88,32.0,33.759,41.0,40.573
