,label,1hour_prediction,label,2hour_prediction
0,7.0,7.746667424127071,6.0,6.141145305094545
1,6.0,6.451555015173914,3.0,4.125046056665356
2,3.0,3.778040228609222,5.0,2.097541494682477
3,5.0,1.7256456169185617,1.0,2.112498852972134
4,1.0,1.620855018152028,1.0,1.9786787159709693
5,1.0,1.597288698019563,6.0,9.337431304289133
6,6.0,9.024307192847525,27.0,24.873848460240904
7,27.0,25.40199026809361,33.0,33.03720006835202
8,33.0,33.1143409029108,42.0,40.72947723810807
9,42.0,40.607027766385876,41.0,41.414315661884466
10,41.0,41.151226374935085,29.0,29.03002890955297
11,29.0,29.763665871239407,27.0,31.489786565057287
12,27.0,29.74444650480625,29.0,30.565872228854207
13,29.0,30.137333191083247,41.0,38.055687346386165
14,41.0,38.49065823350372,30.0,28.39375250005038
15,30.0,28.651483901294082,18.0,21.78936912924528
16,18.0,21.187038654001462,21.0,19.543366560366657
17,21.0,20.265238836134756,25.0,24.89741731166592
18,25.0,24.42424198111496,33.0,34.28824009908944
19,33.0,33.041729635021476,31.0,35.200770417858976
20,31.0,32.64778026167411,26.0,27.238119539776413
21,26.0,27.420950564404574,27.0,26.961910350820514
22,27.0,26.73731929969854,19.0,21.306411797044355
23,19.0,21.6209751570925,6.0,7.676543423161812
24,6.0,6.234156620495334,2.0,4.679191843499791
25,2.0,4.256968749327478,4.0,3.1478081451234594
26,4.0,3.916118429108963,1.0,1.3009775224753453
27,1.0,0.9960768872382956,0.0,1.2229572802566966
28,0.0,0.9225542281130698,2.0,1.7827884888090906
29,2.0,1.6384503730416744,13.0,11.392640655622733
30,13.0,12.028208378756585,24.0,24.112638034500854
31,24.0,24.10122369757699,31.0,33.69875836579294
32,31.0,33.65589697345356,41.0,40.35614035576451
33,41.0,41.073586900047665,42.0,41.576292165720055
34,42.0,41.277855713886844,27.0,28.34405172545032
35,27.0,28.192389169774557,29.0,29.584346912849945
36,29.0,29.561488870851573,35.0,32.42520625418606
37,35.0,32.220194387607144,31.0,32.39624625272019
38,31.0,31.582823792657393,26.0,26.7377211560502
39,26.0,26.7244258970006,21.0,22.01562983559485
40,21.0,22.545319685831263,21.0,21.339823603221753
41,21.0,21.350027246526135,25.0,24.850929909661343
42,25.0,25.056251524618233,35.0,34.80352502797151
43,35.0,34.393297573784245,35.0,33.958072030012644
44,35.0,32.93335759509011,24.0,27.022006559551357
45,24.0,27.307860447296832,28.0,28.458399512497778
46,28.0,28.493409614426284,34.0,29.84120133134509
47,34.0,30.109513518463416,13.0,13.890227464965436
48,13.0,13.538582957135544,3.0,5.341975060491328
49,3.0,4.680625015779698,2.0,4.026890512445018
50,2.0,3.5359205597100587,0.0,1.6394198749471134
51,0.0,1.796965462155359,1.0,1.91989442234678
52,1.0,2.0227028320861042,3.0,1.7448669012132927
53,3.0,1.8265418621042186,11.0,10.801825860484831
54,11.0,10.867907562097756,25.0,24.16876215231959
55,25.0,23.91257965281683,33.0,34.24300150901836
56,33.0,34.56389459217391,37.0,38.10291992661047
57,37.0,39.56166117767977,46.0,41.49588121068424
58,46.0,43.89562133781265,29.0,30.21078230042628
59,29.0,29.623734024491757,29.0,30.38503166727518
60,29.0,31.176207779303066,31.0,29.958056120297673
61,31.0,30.624705763561057,34.0,32.269504068149736
62,34.0,32.41598362481599,25.0,26.322161404922625
63,25.0,26.12204796908159,22.0,23.80603403722761
64,22.0,24.301694428199948,22.0,19.55104263732277
65,22.0,19.691629692617063,21.0,23.142007448043856
66,21.0,23.394041724128147,37.0,36.53611685456894
67,37.0,36.786950339554686,32.0,32.738730270498
68,32.0,32.131144166081434,27.0,28.289465006801787
69,27.0,28.186528798810723,29.0,28.040632518248746
70,29.0,28.22717483208665,29.0,26.40190036198615
71,29.0,27.660472635082755,15.0,13.060299662798327
72,15.0,13.129439471558522,2.0,5.3042852498169735
73,2.0,4.267410730675549,3.0,3.153547418034188
74,3.0,3.940462152564452,3.0,2.024206763603086
75,3.0,1.7457791477381002,1.0,1.7951039727066826
76,1.0,1.204577252298647,3.0,2.1790307562275695
77,3.0,1.912668869173009,9.0,9.40471623796835
78,9.0,9.350180551879335,23.0,22.860731412444217
79,23.0,23.00940560615264,37.0,36.43738015335754
80,37.0,36.47614252803901,42.0,40.278856968919655
81,42.0,40.4557237364572,36.0,39.56005137073268
82,36.0,38.82259794679631,32.0,31.530827374738852
83,32.0,32.21361827123336,28.0,31.474841373331945
84,28.0,29.96576717357716,36.0,33.85485280243467
85,36.0,32.54180560915883,32.0,35.329304408085775
86,32.0,32.4847692153413,28.0,27.567879901447952
87,28.0,27.720708735369683,25.0,25.194061096461354
88,25.0,24.92432919262106,21.0,20.92145307293351
89,21.0,20.512687253088252,27.0,25.539372534013214
90,27.0,25.56117314549202,38.0,35.73195085899308
91,38.0,36.0541349349934,25.0,29.246638191909526
92,25.0,28.69636933349258,27.0,28.566499670677764
93,27.0,28.93123687946092,29.0,28.895414101710095
94,29.0,28.66854715508214,29.0,27.994241320404726
95,29.0,28.09529436231753,21.0,19.0343776517923
96,21.0,19.305591304053298,4.0,5.582542879165342
97,4.0,5.431114267652413,3.0,4.195732045525944
98,3.0,4.28051276753479,3.0,1.64009469714386
99,3.0,1.8241293985541591,1.0,1.6118189412580803
100,1.0,1.2499564429882712,1.0,2.1923869921984473
101,1.0,1.9681425477239185,9.0,10.483996407096328
102,9.0,10.876771013767812,24.0,24.756877129212217
103,24.0,25.146898238987564,39.0,35.815566337735525
104,39.0,36.91700341775115,40.0,40.34063537417467
105,40.0,40.28724036843732,36.0,41.74642456514769
106,36.0,39.28310860812189,35.0,32.63202084108865
107,35.0,33.029708846550236,29.0,30.1551266741852
