,label,1hour_prediction,label,2hour_prediction
0,11.0,10.267,4.0,4.302
1,4.0,4.348,4.0,4.059
2,4.0,4.08,1.0,1.248
3,1.0,1.181,0.0,0.302
4,0.0,0.308,1.0,0.95
5,1.0,1.002,4.0,5.419
6,4.0,5.733,26.0,24.934
7,26.0,25.331,32.0,32.792
8,32.0,32.351,38.0,38.004
9,38.0,38.292,36.0,36.507
10,36.0,36.386,30.0,29.747
11,30.0,29.655,29.0,28.329
12,29.0,28.268,30.0,30.175
13,30.0,30.169,30.0,29.514
14,30.0,29.168,28.0,25.072
15,28.0,27.111,17.0,19.381
16,17.0,19.581,22.0,20.955
17,22.0,21.567,22.0,21.883
18,22.0,21.756,39.0,37.817
19,39.0,36.185,33.0,34.762
20,33.0,35.62,29.0,27.555
21,29.0,28.46,27.0,26.994
22,27.0,27.012,12.0,15.409
23,12.0,15.038,7.0,7.003
24,7.0,7.004,2.0,2.074
25,2.0,2.146,4.0,4.097
26,4.0,4.033,0.0,0.415
27,0.0,0.956,0.0,0.63
28,0.0,0.26,3.0,3.013
29,3.0,2.971,7.0,8.941
30,7.0,8.666,27.0,25.668
31,27.0,25.719,39.0,36.778
32,39.0,36.898,28.0,31.771
33,28.0,32.303,36.0,37.004
34,36.0,40.124,30.0,29.814
35,30.0,30.185,43.0,38.558
36,43.0,38.506,30.0,29.921
37,30.0,29.131,28.0,28.792
38,28.0,29.02,27.0,27.517
39,27.0,27.389,23.0,22.259
40,23.0,22.138,17.0,18.619
41,17.0,18.747,23.0,22.263
42,23.0,22.532,35.0,35.102
43,35.0,34.915,37.0,35.725
44,37.0,36.103,30.0,29.016
45,30.0,29.018,22.0,23.5
46,22.0,25.127,13.0,18.983
47,13.0,16.897,7.0,8.29
48,7.0,7.463,5.0,4.378
49,5.0,4.568,3.0,3.442
50,3.0,3.412,1.0,1.307
51,1.0,1.532,2.0,1.729
52,2.0,1.898,3.0,2.509
53,3.0,2.557,9.0,9.113
54,9.0,9.364,24.0,23.712
55,24.0,23.575,35.0,35.295
56,35.0,35.1,33.0,35.417
57,33.0,35.328,37.0,37.59
58,37.0,37.58,29.0,29.284
59,29.0,30.441,29.0,29.457
60,29.0,25.669,40.0,33.796
61,40.0,37.694,31.0,31.173
62,31.0,30.541,27.0,26.57
63,27.0,26.924,25.0,24.888
64,25.0,25.02,23.0,22.975
65,23.0,22.781,22.0,21.905
66,22.0,22.028,32.0,33.547
67,32.0,33.8,36.0,36.308
68,36.0,36.543,27.0,27.312
69,27.0,27.323,29.0,28.459
70,29.0,28.424,25.0,25.463
71,25.0,25.336,14.0,13.977
72,14.0,14.11,4.0,3.952
73,4.0,3.985,4.0,4.098
