,label,EAD,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WD,WSPD,WS_GST,VIS,WC,RN,CA_TOT,CLA_1LYR,BASE_1LYR,CLA_2LYR,BASE_2LYR,CLA_3LYR,BASE_3LYR,CLA_4LYR,BASE_4LYR,RVR,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,2.0,1.0,7.0,2019,1,1,0,2,1.0,1.0,8.071757085305485,0.0,0.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,1,6,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,1.0,2.0,4.0,2019,1,1,1,2,1.0,1.0,2.8495115058843523,7.0,0.0,2.0,280.0,280.0,305.0,12.0,23.0,8.0,31,5,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,0.0,1.0,2.0,2019,1,1,2,2,1.0,1.0,1.803014561050561,6.0,1.0,1.0,280.0,280.0,305.0,12.0,23.0,8.0,33,4,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,5.0,1.0,0.0,2019,1,1,3,2,1.0,1.0,2.121766819272242,3.0,2.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,32,4,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,20.0,15.0,0.0,2019,1,1,4,2,1.0,1.0,5.611345196905614,5.0,0.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,7,1,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,34.0,35.0,2.0,2019,1,1,5,2,1.0,1.0,20.868019193955153,1.0,0.0,1.0,280.0,280.0,305.0,12.0,23.0,8.0,4,1,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,26.0,37.0,19.0,2019,1,1,6,2,1.0,1.0,32.82510738659534,1.0,5.0,0.0,290.0,295.0,290.0,26.0,18.0,9.0,2,3,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,30.0,27.0,29.0,2019,1,1,7,2,1.0,1.0,29.6899220201139,6.0,1.0,10.0,290.0,295.0,290.0,26.0,18.0,9.0,7,3,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,24.0,23.0,34.0,2019,1,1,8,2,1.0,1.0,28.82819541967462,27.0,0.0,3.0,290.0,295.0,290.0,26.0,18.0,9.0,6,3,0.0,1000,1,0.0,4,2.0,30.0,4.0,120.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,18.0,16.0,42.0,2019,1,1,9,2,1.0,1.0,23.45995059578646,33.0,1.0,0.0,290.0,295.0,290.0,26.0,18.0,9.0,7,1,0.0,1000,1,0.0,5,5.0,110.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
